Location,Period,Dimension,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births)
Guatemala,1979,Female,80.63 [75.43-86.24]
Guatemala,1978,Both sexes,91.55 [86.32-97.62]
Guatemala,1978,Male,99.28 [93.21-106.2]
Guatemala,1978,Female,83.44 [78.08-89.35]
Guatemala,1977,Both sexes,94.51 [89.02-100.7]
Guatemala,1977,Male,102.4 [96.18-109.6]
Guatemala,1977,Female,86.25 [80.68-92.43]
Guatemala,1976,Both sexes,97.52 [91.83-103.9]
Guatemala,1976,Male,105.5 [99.01-112.8]
Guatemala,1976,Female,89.21 [83.45-95.58]
Guatemala,1975,Both sexes,100.6 [94.71-107.1]
Guatemala,1975,Male,108.6 [101.8-116]
Guatemala,1975,Female,92.18 [86.14-98.69]
Guatemala,1974,Both sexes,103.6 [97.58-110.4]
Guatemala,1974,Male,111.7 [104.8-119.5]
Guatemala,1974,Female,95.18 [88.97-101.9]
Guatemala,1973,Both sexes,106.7 [100.4-113.7]
Guatemala,1973,Male,114.8 [107.7-122.8]
Guatemala,1973,Female,98.23 [91.78-105.1]
Guatemala,1972,Both sexes,109.8 [103.3-117]
Guatemala,1972,Male,118 [110.5-126.3]
Guatemala,1972,Female,101.3 [94.61-108.5]
Guatemala,1971,Both sexes,112.9 [106.1-120.4]
Guatemala,1971,Male,121.2 [113.5-129.9]
Guatemala,1971,Female,104.3 [97.33-111.8]
Guatemala,1970,Both sexes,116 [109-123.9]
Guatemala,1970,Male,124.3 [116.4-133.5]
Guatemala,1970,Female,107.2 [100-115.3]
Guatemala,1969,Both sexes,119.1 [111.8-127.5]
Guatemala,1969,Male,127.5 [119.2-137.1]
Guatemala,1969,Female,110.2 [102.7-118.8]
Guatemala,1968,Both sexes,122.2 [114.6-131.1]
Guatemala,1968,Male,130.7 [122-141]
Guatemala,1968,Female,113.2 [105.3-122.4]
Guatemala,1967,Both sexes,125.3 [117.3-134.8]
Guatemala,1967,Male,134.1 [124.6-144.8]
Guatemala,1967,Female,116.2 [107.8-125.9]
Guatemala,1966,Both sexes,128.5 [119.7-138.5]
Guatemala,1966,Male,137.4 [127.2-148.9]
Guatemala,1966,Female,119.2 [110.1-129.4]
Guatemala,1965,Both sexes,131.7 [122.2-142.4]
Guatemala,1965,Male,140.6 [129.8-152.9]
Guatemala,1965,Female,122.2 [112.5-133.1]
Guatemala,1964,Both sexes,134.8 [124.5-146.4]
Guatemala,1964,Male,143.9 [132.3-157.1]
Guatemala,1964,Female,125.2 [114.6-137.1]
Guatemala,1963,Both sexes,137.9 [126.5-151]
Guatemala,1963,Male,147.2 [134.4-161.8]
Guatemala,1963,Female,128.1 [116.7-141.4]
Guatemala,1962,Both sexes,141.1 [128.4-155.9]
Guatemala,1962,Male,150.5 [136.4-167]
Guatemala,1962,Female,131.1 [118.5-146]
Guatemala,1961,Both sexes,144.2 [130.2-161.3]
Guatemala,1961,Male,154 [138.3-172.5]
Guatemala,1961,Female,134.1 [120-151]
Guatemala,1960,Both sexes,147.6 [131.4-167.2]
Guatemala,1960,Male,157.4 [139.8-178.8]
Guatemala,1960,Female,137.3 [121.5-156.5]
Guatemala,1959,Both sexes,151.1 [132.5-173.4]
Guatemala,1959,Male,161.1 [141.1-185.4]
Guatemala,1959,Female,140.7 [122.6-162.2]
Guatemala,1958,Both sexes,154.9 [133.3-180.3]
Guatemala,1958,Male,165.3 [142-192.7]
Guatemala,1958,Female,144.2 [123.4-168.6]
Guatemala,1957,Both sexes,158.9 [134.2-187.5]
Guatemala,1957,Male,169.5 [142.6-200.8]
Guatemala,1957,Female,147.8 [124.1-175.2]
Guinea,2019,Both sexes,63.82 [54.73-75.01]
Guinea,2019,Male,69.68 [59.54-82.31]
Guinea,2019,Female,57.7 [49.25-67.95]
Guinea,2018,Both sexes,65.11 [56.59-75.49]
Guinea,2018,Male,71 [61.53-82.65]
Guinea,2018,Female,58.88 [50.86-68.33]
Guinea,2017,Both sexes,66.31 [58.29-75.84]
Guinea,2017,Male,72.32 [63.43-83.04]
Guinea,2017,Female,59.97 [52.44-68.77]
Guinea,2016,Both sexes,67.45 [59.95-76.16]
Guinea,2016,Male,73.57 [65.22-83.47]
Guinea,2016,Female,61 [53.98-69.1]
Guinea,2015,Both sexes,68.72 [61.74-76.87]
Guinea,2015,Male,74.93 [67.11-84.2]
Guinea,2015,Female,62.15 [55.61-69.7]
Guinea,2014,Both sexes,69.78 [63.31-77.38]
Guinea,2014,Male,76.11 [68.73-84.73]
Guinea,2014,Female,63.15 [56.96-70.22]
Guinea,2013,Both sexes,70.82 [64.73-77.87]
Guinea,2013,Male,77.23 [70.25-85.32]
Guinea,2013,Female,64.07 [58.22-70.74]
Guinea,2012,Both sexes,72.03 [66.18-78.7]
Guinea,2012,Male,78.55 [71.83-86.1]
Guinea,2012,Female,65.16 [59.62-71.54]
Guinea,2011,Both sexes,73.3 [67.62-79.75]
Guinea,2011,Male,79.91 [73.42-87.28]
Guinea,2011,Female,66.36 [60.93-72.44]
Guinea,2010,Both sexes,74.64 [69.09-80.89]
Guinea,2010,Male,81.35 [75.03-88.48]
Guinea,2010,Female,67.65 [62.27-73.5]
Guinea,2009,Both sexes,76.1 [70.58-82.18]
Guinea,2009,Male,82.85 [76.54-89.76]
Guinea,2009,Female,69.04 [63.73-74.82]
Guinea,2008,Both sexes,77.75 [72.17-83.76]
Guinea,2008,Male,84.55 [78.18-91.36]
Guinea,2008,Female,70.58 [65.18-76.31]
Guinea,2007,Both sexes,79.6 [73.96-85.5]
Guinea,2007,Male,86.5 [80.1-93.2]
Guinea,2007,Female,72.34 [66.84-78.02]
Guinea,2006,Both sexes,81.69 [75.95-87.62]
Guinea,2006,Male,88.71 [82.21-95.47]
Guinea,2006,Female,74.29 [68.72-80.06]
Guinea,2005,Both sexes,84.04 [78.3-90.04]
Guinea,2005,Male,91.19 [84.7-98.03]
Guinea,2005,Female,76.5 [70.91-82.32]
Guinea,2004,Both sexes,86.68 [80.92-92.73]
Guinea,2004,Male,93.97 [87.44-100.8]
Guinea,2004,Female,79.04 [73.4-84.78]
Guinea,2003,Both sexes,89.62 [83.88-95.69]
Guinea,2003,Male,97.04 [90.49-103.9]
Guinea,2003,Female,81.87 [76.2-87.76]
Guinea,2002,Both sexes,92.87 [87.03-98.95]
Guinea,2002,Male,100.4 [93.82-107.3]
Guinea,2002,Female,84.98 [79.22-90.92]
Guinea,2001,Both sexes,96.32 [90.42-102.5]
Guinea,2001,Male,104 [97.25-111]
Guinea,2001,Female,88.31 [82.53-94.32]
Guinea,2000,Both sexes,99.94 [93.92-106.2]
Guinea,2000,Male,107.6 [100.9-114.7]
Guinea,2000,Female,91.84 [85.88-97.94]
Guinea,1999,Both sexes,103.6 [97.48-110]
Guinea,1999,Male,111.4 [104.7-118.7]
Guinea,1999,Female,95.32 [89.28-101.6]
Guinea,1998,Both sexes,107.2 [101-114]
Guinea,1998,Male,115.3 [108.2-122.8]
Guinea,1998,Female,98.82 [92.68-105.5]
Guinea,1997,Both sexes,111 [104.4-117.9]
Guinea,1997,Male,119.1 [111.8-126.8]
Guinea,1997,Female,102.4 [96.06-109.3]
Guinea,1996,Both sexes,114.6 [107.9-121.8]
Guinea,1996,Male,122.9 [115.3-130.9]
Guinea,1996,Female,106 [99.39-113.1]
Guinea,1995,Both sexes,118.4 [111.4-125.7]
Guinea,1995,Male,126.7 [118.9-135.1]
Guinea,1995,Female,109.7 [102.8-117]
Guinea,1994,Both sexes,122.2 [114.9-129.8]
Guinea,1994,Male,130.5 [122.5-139.3]
Guinea,1994,Female,113.4 [106.1-120.9]
Guinea,1993,Both sexes,125.9 [118.2-134.1]
Guinea,1993,Male,134.4 [126-143.5]
Guinea,1993,Female,117 [109.5-125.1]
Guinea,1992,Both sexes,129.6 [121.6-138.3]
Guinea,1992,Male,138.1 [129.4-147.9]
Guinea,1992,Female,120.6 [112.7-129.1]
Guinea,1991,Both sexes,133.2 [124.8-142.4]
Guinea,1991,Male,142 [132.8-152.2]
Guinea,1991,Female,123.9 [115.6-133]
Guinea,1990,Both sexes,136.6 [127.8-146.2]
Guinea,1990,Male,145.5 [135.8-156.1]
Guinea,1990,Female,127.4 [118.6-136.9]
Guinea,1989,Both sexes,139.8 [130.5-149.8]
Guinea,1989,Male,148.6 [138.5-159.6]
Guinea,1989,Female,130.4 [121.3-140.3]
Guinea,1988,Both sexes,142.7 [133.1-153]
Guinea,1988,Male,151.6 [141-162.9]
Guinea,1988,Female,133.3 [124-143.5]
Guinea,1987,Both sexes,145.5 [135.6-156.1]
Guinea,1987,Male,154.4 [143.5-166.1]
Guinea,1987,Female,136 [126.4-146.6]
Guinea,1986,Both sexes,148.1 [137.9-159.2]
Guinea,1986,Male,157.1 [145.9-169.2]
Guinea,1986,Female,138.6 [128.6-149.6]
Guinea,1985,Both sexes,150.7 [140.3-162.3]
Guinea,1985,Male,160 [148.3-172.6]
Guinea,1985,Female,141.1 [130.7-152.6]
Guinea,1984,Both sexes,153.4 [142.6-165.5]
Guinea,1984,Male,163 [150.9-176.1]
Guinea,1984,Female,143.5 [132.8-155.5]
Guinea,1983,Both sexes,156.2 [145-168.9]
Guinea,1983,Male,166 [153.3-179.6]
Guinea,1983,Female,146 [134.7-158.4]
Guinea,1982,Both sexes,158.9 [147.2-172.3]
Guinea,1982,Male,168.9 [155.8-183.3]
Guinea,1982,Female,148.4 [136.6-161.4]
Guinea,1981,Both sexes,161.8 [149.5-175.5]
Guinea,1981,Male,171.9 [158.4-186.8]
Guinea,1981,Female,151.1 [138.8-164.7]
Guinea,1980,Both sexes,164.7 [151.9-179]
Guinea,1980,Male,174.9 [160.8-190.7]
Guinea,1980,Female,153.8 [141.1-168.1]
Guinea,1979,Both sexes,167.5 [154.2-182.6]
Guinea,1979,Male,178 [163.2-194.5]
Guinea,1979,Female,156.6 [143.2-171.4]
Guinea,1978,Both sexes,170.4 [156.3-186.3]
Guinea,1978,Male,180.9 [165.4-198.2]
Guinea,1978,Female,159.3 [145.4-175.1]
Guinea,1977,Both sexes,173.2 [158.4-189.9]
Guinea,1977,Male,184 [167.6-202.2]
Guinea,1977,Female,162.1 [147.4-178.5]
Guinea,1976,Both sexes,175.8 [160.2-193.5]
Guinea,1976,Male,186.6 [169.5-205.8]
Guinea,1976,Female,164.5 [149.2-182]
Guinea,1975,Both sexes,178.3 [161.9-197.1]
Guinea,1975,Male,189.2 [171.3-209.2]
Guinea,1975,Female,167 [150.8-185.5]
Guinea,1974,Both sexes,180.7 [163.5-200.2]
Guinea,1974,Male,191.8 [172.9-212.8]
Guinea,1974,Female,169.2 [152.3-188.9]
Guinea,1973,Both sexes,182.9 [164.6-203.5]
Guinea,1973,Male,194.1 [174.1-216.4]
Guinea,1973,Female,171.2 [153.4-192]
Guinea,1972,Both sexes,185.1 [165.6-207.1]
Guinea,1972,Male,196.4 [175.2-220]
Guinea,1972,Female,173.2 [154.1-195.1]
Guinea,1971,Both sexes,187.1 [166.3-210.7]
Guinea,1971,Male,198.6 [176-223.9]
Guinea,1971,Female,175.1 [154.6-198]
Guinea,1970,Both sexes,189.1 [167.1-214.1]
Guinea,1970,Male,200.6 [177-227.7]
Guinea,1970,Female,176.9 [155.6-201.1]
Guinea,1969,Both sexes,191 [168-217.6]
Guinea,1969,Male,202.7 [178.1-231.6]
Guinea,1969,Female,178.5 [156.2-204]
Guinea,1968,Both sexes,192.9 [168.6-221.4]
Guinea,1968,Male,204.9 [178.8-235.6]
Guinea,1968,Female,180.3 [157-207.5]
Guinea,1967,Both sexes,194.8 [169.3-224.8]
Guinea,1967,Male,207 [179.4-239.7]
Guinea,1967,Female,182 [158-210.7]
Guinea,1966,Both sexes,196.7 [170.2-228.1]
Guinea,1966,Male,208.9 [180.2-242.7]
Guinea,1966,Female,183.7 [158.6-213.9]
Guinea,1965,Both sexes,198.4 [171.1-231.2]
Guinea,1965,Male,210.7 [181.2-246.1]
Guinea,1965,Female,185.4 [159.3-216.6]
Guinea,1964,Both sexes,200.2 [172-233.5]
Guinea,1964,Male,212.6 [181.9-248.6]
Guinea,1964,Female,187 [160-219]
Guinea,1963,Both sexes,201.9 [173-236.1]
Guinea,1963,Male,214.4 [183-251.6]
Guinea,1963,Female,188.7 [160.8-221]
Guinea,1962,Both sexes,203.6 [174.5-238.3]
Guinea,1962,Male,216.2 [184.2-254.4]
Guinea,1962,Female,190 [162-222.8]
Guinea,1961,Both sexes,205.1 [175.6-240.2]
Guinea,1961,Male,218 [185.7-256.6]
Guinea,1961,Female,191.3 [163.3-224.8]
Guinea,1960,Both sexes,206.6 [176.8-241.7]
Guinea,1960,Male,219.6 [186.8-258.7]
Guinea,1960,Female,192.7 [164-226.8]
Guinea,1959,Both sexes,208 [178-243.4]
Guinea,1959,Male,221 [188.2-260.2]
Guinea,1959,Female,193.9 [165.3-228]
Guinea,1958,Both sexes,209.2 [179.3-244.2]
Guinea,1958,Male,222.2 [189.4-261.1]
Guinea,1958,Female,195.2 [166.5-228.8]
Guinea,1957,Both sexes,210.3 [180.5-245]
Guinea,1957,Male,223.4 [191-261.7]
Guinea,1957,Female,196 [167.7-229.3]
Guinea,1956,Both sexes,211.3 [182-245.6]
Guinea,1956,Male,224.5 [192.8-261.9]
Guinea,1956,Female,196.8 [168.9-229.6]
Guinea,1955,Both sexes,212 [183.3-245.3]
Guinea,1955,Male,225.5 [194-261.8]
Guinea,1955,Female,197.6 [170.2-229.7]
Guinea,1954,Both sexes,212.7 [184.7-245]
Guinea,1954,Male,226.1 [195.3-261.4]
Guinea,1954,Female,198.4 [171.3-230.1]
Guinea,1953,Both sexes,213.1 [185.7-244.7]
Guinea,1953,Male,226.8 [196.7-261.6]
Guinea,1953,Female,198.6 [172.2-229.5]
Guinea,1952,Both sexes,213.5 [186.5-244.5]
Guinea,1952,Male,227.1 [197.4-261.4]
Guinea,1952,Female,199 [172.7-229.1]
Guinea,1951,Both sexes,213.6 [187-244]
Guinea,1951,Male,227.4 [197.9-261.1]
Guinea,1951,Female,199.2 [173.5-228.6]
Guinea,1950,Both sexes,213.8 [187.3-243.7]
Guinea,1950,Male,227.5 [198.2-260.4]
Guinea,1950,Female,199.2 [173.8-228.3]
Guinea-Bissau,2019,Both sexes,52.32 [35.77-75.69]
Guinea-Bissau,2019,Male,57.63 [39.4-83.51]
Guinea-Bissau,2019,Female,46.75 [31.8-67.82]
Guinea-Bissau,2018,Both sexes,53.97 [37.62-75.88]
Guinea-Bissau,2018,Male,59.39 [41.42-83.71]
Guinea-Bissau,2018,Female,48.21 [33.52-68.09]
Guinea-Bissau,2017,Both sexes,55.57 [39.66-76.25]
Guinea-Bissau,2017,Male,61.16 [43.74-84.05]
Guinea-Bissau,2017,Female,49.64 [35.41-68.24]
Guinea-Bissau,2016,Both sexes,57.28 [41.94-76.83]
Guinea-Bissau,2016,Male,62.98 [46.1-84.5]
Guinea-Bissau,2016,Female,51.26 [37.36-68.89]
Guinea-Bissau,2015,Both sexes,59.23 [44.32-77.47]
Guinea-Bissau,2015,Male,65.15 [48.85-85.22]
Guinea-Bissau,2015,Female,52.92 [39.45-69.52]
Guinea-Bissau,2014,Both sexes,61.19 [46.91-78.57]
Guinea-Bissau,2014,Male,67.27 [51.69-86.56]
Guinea-Bissau,2014,Female,54.74 [41.71-70.42]
Guinea-Bissau,2013,Both sexes,63.46 [49.9-79.77]
Guinea-Bissau,2013,Male,69.73 [54.94-87.66]
Guinea-Bissau,2013,Female,56.94 [44.47-71.51]
Guinea-Bissau,2012,Both sexes,65.99 [53.29-81.15]
Guinea-Bissau,2012,Male,72.48 [58.54-89.33]
Guinea-Bissau,2012,Female,59.14 [47.47-73.13]
Guinea-Bissau,2011,Both sexes,68.8 [56.9-83.12]
Guinea-Bissau,2011,Male,75.49 [62.58-91.17]
Guinea-Bissau,2011,Female,61.66 [50.67-74.89]
Guinea-Bissau,2010,Both sexes,71.87 [60.91-85.15]
Guinea-Bissau,2010,Male,78.84 [66.77-93.43]
Guinea-Bissau,2010,Female,64.53 [54.27-76.67]
Guinea-Bissau,2009,Both sexes,75.19 [64.92-87.62]
Guinea-Bissau,2009,Male,82.4 [70.89-95.94]
Guinea-Bissau,2009,Female,67.54 [57.86-78.92]
Guinea-Bissau,2008,Both sexes,78.5 [68.79-90.1]
Guinea-Bissau,2008,Male,86.05 [75.15-98.78]
Guinea-Bissau,2008,Female,70.61 [61.59-81.1]
Guinea-Bissau,2007,Both sexes,81.88 [72.59-92.78]
Guinea-Bissau,2007,Male,89.73 [79.33-101.7]
Guinea-Bissau,2007,Female,73.74 [65.16-83.8]
Guinea-Bissau,2006,Both sexes,85.28 [76.29-95.9]
Guinea-Bissau,2006,Male,93.39 [83.25-105.2]
Guinea-Bissau,2006,Female,76.83 [68.46-86.86]
Guinea-Bissau,2005,Both sexes,88.7 [79.87-99.24]
Guinea-Bissau,2005,Male,96.96 [87-108.6]
Guinea-Bissau,2005,Female,80.04 [71.7-89.84]
Guinea-Bissau,2004,Both sexes,92.05 [83.25-102.4]
Guinea-Bissau,2004,Male,100.5 [90.52-112.1]
Guinea-Bissau,2004,Female,83.22 [74.8-93.04]
Guinea-Bissau,2003,Both sexes,95.44 [86.49-105.6]
Guinea-Bissau,2003,Male,104 [94.03-115.5]
Guinea-Bissau,2003,Female,86.36 [77.93-96.14]
Guinea-Bissau,2002,Both sexes,98.66 [89.62-108.9]
Guinea-Bissau,2002,Male,107.4 [97.31-118.9]
Guinea-Bissau,2002,Female,89.46 [80.85-99.31]
Guinea-Bissau,2001,Both sexes,101.7 [92.65-112]
Guinea-Bissau,2001,Male,110.5 [100.3-122.1]
Guinea-Bissau,2001,Female,92.43 [83.73-102.2]
Guinea-Bissau,2000,Both sexes,104.6 [95.47-115.1]
Guinea-Bissau,2000,Male,113.5 [103.2-125.2]
Guinea-Bissau,2000,Female,95.3 [86.44-105.3]
Guinea-Bissau,1999,Both sexes,107.4 [98.08-117.9]
Guinea-Bissau,1999,Male,116.4 [105.9-128.3]
Guinea-Bissau,1999,Female,97.96 [88.89-108.1]
Guinea-Bissau,1998,Both sexes,110.1 [100.6-120.7]
Guinea-Bissau,1998,Male,119.2 [108.6-131.3]
Guinea-Bissau,1998,Female,100.6 [91.31-111]
Guinea-Bissau,1997,Both sexes,112.9 [103.1-123.7]
Guinea-Bissau,1997,Male,122 [111-134.3]
Guinea-Bissau,1997,Female,103.2 [93.8-113.9]
Guinea-Bissau,1996,Both sexes,115.5 [105.6-126.8]
Guinea-Bissau,1996,Male,124.8 [113.6-137.3]
Guinea-Bissau,1996,Female,105.8 [96.13-116.8]
Guinea-Bissau,1995,Both sexes,118.2 [108-129.9]
Guinea-Bissau,1995,Male,127.7 [116.1-140.7]
Guinea-Bissau,1995,Female,108.3 [98.37-119.6]
Guinea-Bissau,1994,Both sexes,120.8 [110.3-133]
Guinea-Bissau,1994,Male,130.3 [118.4-144]
Guinea-Bissau,1994,Female,110.8 [100.5-122.6]
Guinea-Bissau,1993,Both sexes,123.4 [112.3-136.3]
Guinea-Bissau,1993,Male,133 [120.6-147.4]
Guinea-Bissau,1993,Female,113.2 [102.5-125.7]
Guinea-Bissau,1992,Both sexes,125.9 [114.2-139.7]
Guinea-Bissau,1992,Male,135.7 [122.5-151]
Guinea-Bissau,1992,Female,115.6 [104.2-129]
Guinea-Bissau,1991,Both sexes,128.4 [115.9-143.1]
Guinea-Bissau,1991,Male,138.1 [124.3-154.5]
Guinea-Bissau,1991,Female,118 [106-132.2]
Guinea-Bissau,1990,Both sexes,130.7 [117.4-146.7]
Guinea-Bissau,1990,Male,140.6 [125.7-158.2]
Guinea-Bissau,1990,Female,120.4 [107.4-135.5]
Guinea-Bissau,1989,Both sexes,133.1 [118.7-150.5]
Guinea-Bissau,1989,Male,143.1 [126.9-162.3]
Guinea-Bissau,1989,Female,122.6 [108.6-139]
Guinea-Bissau,1988,Both sexes,135.5 [119.7-154.7]
Guinea-Bissau,1988,Male,145.5 [127.9-166.7]
Guinea-Bissau,1988,Female,124.9 [109.8-143.4]
Guinea-Bissau,1987,Both sexes,137.9 [119.9-159.8]
Guinea-Bissau,1987,Male,147.9 [128.2-172.1]
Guinea-Bissau,1987,Female,127.2 [110.2-148]
Guinea-Bissau,1986,Both sexes,140.5 [119.4-166]
Guinea-Bissau,1986,Male,150.6 [127.4-178.7]
Guinea-Bissau,1986,Female,129.6 [110.1-153.8]
Guinea-Bissau,1985,Both sexes,143.1 [118.1-173.1]
Guinea-Bissau,1985,Male,153.5 [126.5-186]
Guinea-Bissau,1985,Female,132.1 [108.9-160.4]
Guyana,2019,Both sexes,24.44 [15.59-37.72]
Guyana,2019,Male,27.58 [17.47-42.73]
Guyana,2019,Female,21.12 [13.42-32.71]
Guyana,2018,Both sexes,25.22 [16.53-37.8]
Guyana,2018,Male,28.39 [18.58-42.85]
Guyana,2018,Female,21.78 [14.25-32.78]
Guyana,2017,Both sexes,25.95 [17.59-37.88]
Guyana,2017,Male,29.21 [19.78-42.85]
Guyana,2017,Female,22.47 [15.13-32.73]
Guyana,2016,Both sexes,26.66 [18.6-37.77]
Guyana,2016,Male,30.02 [20.91-42.69]
Guyana,2016,Female,23.11 [16.12-32.82]
Guyana,2015,Both sexes,27.37 [19.62-37.93]
Guyana,2015,Male,30.82 [22.03-42.89]
Guyana,2015,Female,23.75 [16.95-32.95]
Guyana,2014,Both sexes,28.1 [20.64-37.91]
Guyana,2014,Male,31.62 [23.2-42.75]
Guyana,2014,Female,24.37 [17.82-32.97]
Guyana,2013,Both sexes,28.77 [21.67-37.9]
Guyana,2013,Male,32.37 [24.39-42.82]
Guyana,2013,Female,24.97 [18.79-32.95]
Guyana,2012,Both sexes,29.32 [22.72-37.76]
Guyana,2012,Male,33.05 [25.55-42.66]
Guyana,2012,Female,25.46 [19.66-32.77]
Guyana,2011,Both sexes,29.9 [23.8-37.46]
Guyana,2011,Male,33.66 [26.7-42.27]
Guyana,2011,Female,25.93 [20.61-32.55]
Guyana,2010,Both sexes,30.46 [24.89-37.18]
Guyana,2010,Male,34.27 [27.98-41.96]
Guyana,2010,Female,26.37 [21.51-32.29]
Guyana,2009,Both sexes,31 [25.94-36.95]
Guyana,2009,Male,34.88 [29.16-41.76]
Guyana,2009,Female,26.87 [22.42-32.2]
Guyana,2008,Both sexes,31.56 [26.99-36.96]
Guyana,2008,Male,35.53 [30.33-41.71]
Guyana,2008,Female,27.38 [23.28-32.24]
Guyana,2007,Both sexes,32.15 [27.97-37.06]
Guyana,2007,Male,36.2 [31.41-41.88]
Guyana,2007,Female,27.88 [24.1-32.29]
Guyana,2006,Both sexes,32.74 [28.9-37.26]
Guyana,2006,Male,36.85 [32.37-42.12]
Guyana,2006,Female,28.4 [24.93-32.45]
Guyana,2005,Both sexes,33.35 [29.72-37.56]
Guyana,2005,Male,37.57 [33.26-42.53]
Guyana,2005,Female,28.91 [25.61-32.79]
Guyana,2004,Both sexes,33.98 [30.51-38]
Guyana,2004,Male,38.29 [34.19-42.95]
Guyana,2004,Female,29.48 [26.25-33.2]
Guyana,2003,Both sexes,34.66 [31.32-38.5]
Guyana,2003,Male,39.03 [35.01-43.51]
Guyana,2003,Female,30.08 [26.93-33.61]
Guyana,2002,Both sexes,35.38 [32.1-39.1]
Guyana,2002,Male,39.84 [35.96-44.22]
Guyana,2002,Female,30.72 [27.62-34.2]
Guyana,2001,Both sexes,36.15 [32.9-39.78]
Guyana,2001,Male,40.68 [36.83-45]
Guyana,2001,Female,31.38 [28.31-34.8]
Guyana,2000,Both sexes,36.93 [33.7-40.51]
Guyana,2000,Male,41.6 [37.74-45.82]
Guyana,2000,Female,32.03 [28.96-35.41]
Guyana,1999,Both sexes,37.73 [34.51-41.3]
Guyana,1999,Male,42.54 [38.71-46.74]
Guyana,1999,Female,32.7 [29.64-36.04]
Guyana,1998,Both sexes,38.57 [35.29-42.18]
Guyana,1998,Male,43.52 [39.68-47.74]
Guyana,1998,Female,33.38 [30.31-36.76]
Guyana,1997,Both sexes,39.42 [36.15-43.04]
Guyana,1997,Male,44.54 [40.73-48.84]
Guyana,1997,Female,34.04 [30.97-37.47]
Guyana,1996,Both sexes,40.28 [37.03-43.93]
Guyana,1996,Male,45.51 [41.65-49.82]
Guyana,1996,Female,34.78 [31.69-38.25]
Guyana,1995,Both sexes,41.17 [37.88-44.86]
Guyana,1995,Male,46.54 [42.65-50.92]
Guyana,1995,Female,35.56 [32.46-39.06]
Guyana,1994,Both sexes,42.13 [38.81-45.88]
Guyana,1994,Male,47.62 [43.67-52.04]
Guyana,1994,Female,36.39 [33.31-39.98]
Guyana,1993,Both sexes,43.16 [39.77-47.01]
Guyana,1993,Male,48.75 [44.71-53.35]
Guyana,1993,Female,37.3 [34.12-40.96]
Guyana,1992,Both sexes,44.24 [40.74-48.21]
Guyana,1992,Male,49.96 [45.78-54.64]
Guyana,1992,Female,38.25 [34.96-42.04]
Guyana,1991,Both sexes,45.32 [41.67-49.46]
Guyana,1991,Male,51.11 [46.72-55.96]
Guyana,1991,Female,39.24 [35.78-43.19]
Guyana,1990,Both sexes,46.39 [42.53-50.75]
Guyana,1990,Male,52.25 [47.68-57.36]
Guyana,1990,Female,40.18 [36.6-44.3]
Guyana,1989,Both sexes,47.36 [43.33-51.97]
Guyana,1989,Male,53.38 [48.56-58.71]
Guyana,1989,Female,41.08 [37.33-45.46]
Guyana,1988,Both sexes,48.29 [44.07-53.19]
Guyana,1988,Male,54.36 [49.4-60.03]
Guyana,1988,Female,41.91 [37.97-46.53]
Guyana,1987,Both sexes,49.1 [44.72-54.19]
Guyana,1987,Male,55.23 [50.1-61.17]
Guyana,1987,Female,42.65 [38.57-47.44]
Guyana,1986,Both sexes,49.82 [45.31-55.13]
Guyana,1986,Male,56 [50.72-62.18]
Guyana,1986,Female,43.3 [39.04-48.21]
Guyana,1985,Both sexes,50.43 [45.75-56.01]
Guyana,1985,Male,56.72 [51.2-63.17]
Guyana,1985,Female,43.85 [39.45-48.91]
Guyana,1984,Both sexes,50.98 [46.14-56.79]
Guyana,1984,Male,57.29 [51.61-64.01]
Guyana,1984,Female,44.36 [39.83-49.68]
Guyana,1983,Both sexes,51.48 [46.41-57.59]
Guyana,1983,Male,57.85 [51.94-64.72]
Guyana,1983,Female,44.86 [40.08-50.49]
Guyana,1982,Both sexes,51.98 [46.69-58.3]
Guyana,1982,Male,58.38 [52.22-65.55]
Guyana,1982,Female,45.28 [40.33-51.11]
Guyana,1981,Both sexes,52.42 [46.96-59.04]
Guyana,1981,Male,58.92 [52.52-66.43]
Guyana,1981,Female,45.62 [40.6-51.72]
Guyana,1980,Both sexes,52.81 [47.26-59.61]
Guyana,1980,Male,59.34 [52.77-67.15]
Guyana,1980,Female,45.99 [40.89-52.3]
Guyana,1979,Both sexes,53.21 [47.57-60.09]
Guyana,1979,Male,59.8 [53.12-67.72]
Guyana,1979,Female,46.36 [41.15-52.76]
Guyana,1978,Both sexes,53.58 [47.88-60.58]
Guyana,1978,Male,60.18 [53.4-68.15]
Guyana,1978,Female,46.7 [41.47-53.2]
Guyana,1977,Both sexes,53.92 [48.24-60.8]
Guyana,1977,Male,60.51 [53.84-68.42]
Guyana,1977,Female,46.99 [41.74-53.42]
Guyana,1976,Both sexes,54.2 [48.54-60.89]
Guyana,1976,Male,60.88 [54.22-68.64]
Guyana,1976,Female,47.22 [42-53.51]
Guyana,1975,Both sexes,54.45 [48.82-61.05]
Guyana,1975,Male,61.12 [54.61-68.87]
Guyana,1975,Female,47.43 [42.18-53.59]
Guyana,1974,Both sexes,54.66 [48.96-61.13]
Guyana,1974,Male,61.33 [54.81-68.99]
Guyana,1974,Female,47.63 [42.37-53.68]
Guyana,1973,Both sexes,54.78 [49.06-61.15]
Guyana,1973,Male,61.5 [54.97-69.01]
