Location,Period,Dimension,Under-five mortality rate (probability of dying by age 5 per 1000 live births)
Guyana,1952,Both sexes,139.8 [116.4-166.6]
Guyana,1952,Male,151.3 [125.6-181]
Guyana,1952,Female,127.6 [106.3-152.5]
Guyana,1951,Both sexes,146.6 [120.8-177.1]
Guyana,1951,Male,158.3 [130.3-191.7]
Guyana,1951,Female,134.1 [110.3-162.3]
Guyana,1950,Both sexes,153.5 [125.2-188.1]
Guyana,1950,Male,165.6 [134.4-203.7]
Guyana,1950,Female,140.8 [114.2-173.3]
Haiti,2019,Both sexes,62.8 [47.61-84.11]
Haiti,2019,Male,67.99 [51.56-91.16]
Haiti,2019,Female,57.21 [43.25-76.82]
Haiti,2018,Both sexes,64.65 [50.63-84.21]
Haiti,2018,Male,70.07 [54.94-90.96]
Haiti,2018,Female,58.98 [46.06-76.98]
Haiti,2017,Both sexes,66.58 [53.79-84.39]
Haiti,2017,Male,72.06 [58.31-91.32]
Haiti,2017,Female,60.82 [48.93-77.26]
Haiti,2016,Both sexes,68.48 [56.93-84.7]
Haiti,2016,Male,74.1 [61.47-91.66]
Haiti,2016,Female,62.6 [51.7-77.47]
Haiti,2015,Both sexes,70.51 [59.7-84.95]
Haiti,2015,Male,76.24 [64.34-92.1]
Haiti,2015,Female,64.39 [54.34-77.86]
Haiti,2014,Both sexes,72.3 [62.24-85.51]
Haiti,2014,Male,78.18 [67.07-92.59]
Haiti,2014,Female,66.21 [56.78-78.57]
Haiti,2013,Both sexes,74.11 [64.64-86.19]
Haiti,2013,Male,80.06 [69.61-93.11]
Haiti,2013,Female,67.96 [59.02-79.22]
Haiti,2012,Both sexes,75.92 [66.97-86.85]
Haiti,2012,Male,81.96 [72.09-93.73]
Haiti,2012,Female,69.68 [61.33-79.99]
Haiti,2011,Both sexes,77.75 [69.33-87.77]
Haiti,2011,Male,83.84 [74.55-94.63]
Haiti,2011,Female,71.34 [63.4-80.79]
Haiti,2010,Both sexes,207 [186.2-231.2]
Haiti,2010,Male,213.2 [191.1-237.9]
Haiti,2010,Female,200.5 [179.6-224.5]
Haiti,2009,Both sexes,81.46 [73.79-90.14]
Haiti,2009,Male,87.68 [79.3-97.2]
Haiti,2009,Female,74.88 [67.49-83.18]
Haiti,2008,Both sexes,83.36 [75.85-91.56]
Haiti,2008,Male,89.7 [81.55-98.8]
Haiti,2008,Female,76.67 [69.54-84.51]
Haiti,2007,Both sexes,85.32 [78.01-93.25]
Haiti,2007,Male,91.74 [83.72-100.4]
Haiti,2007,Female,78.53 [71.54-86.06]
Haiti,2006,Both sexes,87.38 [79.92-95.02]
Haiti,2006,Male,93.85 [85.88-102.4]
Haiti,2006,Female,80.44 [73.37-87.87]
Haiti,2005,Both sexes,89.51 [81.95-97.2]
Haiti,2005,Male,96.09 [87.92-104.8]
Haiti,2005,Female,82.46 [75.22-89.83]
Haiti,2004,Both sexes,91.8 [84.13-99.63]
Haiti,2004,Male,98.51 [90.18-107.3]
Haiti,2004,Female,84.73 [77.24-92.21]
Haiti,2003,Both sexes,94.35 [86.44-102.3]
Haiti,2003,Male,101.2 [92.57-110]
Haiti,2003,Female,87.1 [79.51-94.75]
Haiti,2002,Both sexes,97.18 [89.04-105.2]
Haiti,2002,Male,104.2 [95.3-113.1]
Haiti,2002,Female,89.84 [82.1-97.61]
Haiti,2001,Both sexes,100.3 [92.09-108.4]
Haiti,2001,Male,107.3 [98.41-116.3]
Haiti,2001,Female,92.86 [85.02-100.7]
Haiti,2000,Both sexes,103.7 [95.55-111.9]
Haiti,2000,Male,110.8 [101.9-119.8]
Haiti,2000,Female,96.26 [88.37-104.1]
Haiti,1999,Both sexes,107.4 [99.34-115.6]
Haiti,1999,Male,114.6 [105.8-123.6]
Haiti,1999,Female,99.85 [92.02-107.8]
Haiti,1998,Both sexes,111.3 [103.3-119.6]
Haiti,1998,Male,118.6 [109.8-127.7]
Haiti,1998,Female,103.6 [95.82-111.7]
Haiti,1997,Both sexes,115.4 [107.2-123.8]
Haiti,1997,Male,122.7 [113.9-132]
Haiti,1997,Female,107.6 [99.68-115.9]
Haiti,1996,Both sexes,119.6 [111.3-128.3]
Haiti,1996,Male,127.2 [118.2-136.7]
Haiti,1996,Female,111.6 [103.6-120]
Haiti,1995,Both sexes,123.8 [115.3-132.7]
Haiti,1995,Male,131.6 [122.5-141.3]
Haiti,1995,Female,115.6 [107.5-124.3]
Haiti,1994,Both sexes,128.1 [119.4-137.2]
Haiti,1994,Male,136 [126.6-146]
Haiti,1994,Female,119.7 [111.4-128.8]
Haiti,1993,Both sexes,132.3 [123.6-141.6]
Haiti,1993,Male,140.5 [130.7-150.6]
Haiti,1993,Female,123.8 [115.2-133.1]
Haiti,1992,Both sexes,136.4 [127.5-146.1]
Haiti,1992,Male,144.8 [134.8-155.1]
Haiti,1992,Female,127.8 [119-137.2]
Haiti,1991,Both sexes,140.5 [131.4-150.4]
Haiti,1991,Male,149 [138.8-159.7]
Haiti,1991,Female,131.8 [122.7-141.4]
Haiti,1990,Both sexes,144.6 [135.2-154.8]
Haiti,1990,Male,153.1 [142.8-164.3]
Haiti,1990,Female,135.6 [126.4-145.6]
Haiti,1989,Both sexes,148.7 [138.9-159]
Haiti,1989,Male,157.3 [146.6-168.6]
Haiti,1989,Female,139.6 [130.1-149.8]
Haiti,1988,Both sexes,152.7 [142.6-163.3]
Haiti,1988,Male,161.5 [150.5-173.1]
Haiti,1988,Female,143.5 [133.6-153.9]
Haiti,1987,Both sexes,156.8 [146.3-167.8]
Haiti,1987,Male,165.8 [154.4-177.9]
Haiti,1987,Female,147.4 [137.3-158.2]
Haiti,1986,Both sexes,161.1 [150.2-172.6]
Haiti,1986,Male,170.3 [158.5-182.9]
Haiti,1986,Female,151.4 [140.9-162.6]
Haiti,1985,Both sexes,165.4 [154.2-177.5]
Haiti,1985,Male,174.8 [162.7-187.9]
Haiti,1985,Female,155.7 [144.8-167.4]
Haiti,1984,Both sexes,170 [158.3-182.5]
Haiti,1984,Male,179.5 [166.8-193.2]
Haiti,1984,Female,160.1 [148.6-172.4]
Haiti,1983,Both sexes,174.7 [162.6-187.7]
Haiti,1983,Male,184.3 [171.2-198.4]
Haiti,1983,Female,164.6 [152.7-177.3]
Haiti,1982,Both sexes,179.4 [166.9-193]
Haiti,1982,Male,189.2 [175.5-203.7]
Haiti,1982,Female,169.1 [156.9-182.3]
Haiti,1981,Both sexes,184.2 [171.2-198.2]
Haiti,1981,Male,194.2 [180.1-209.5]
Haiti,1981,Female,173.7 [161-187.5]
Haiti,1980,Both sexes,189.1 [175.5-203.5]
Haiti,1980,Male,199.3 [184.7-214.8]
Haiti,1980,Female,178.4 [165.1-192.4]
Haiti,1979,Both sexes,194.1 [180.1-208.8]
Haiti,1979,Male,204.4 [189.3-220.7]
Haiti,1979,Female,183.2 [169.3-197.5]
Haiti,1978,Both sexes,199.1 [184.6-214.2]
Haiti,1978,Male,209.7 [194.1-226.3]
Haiti,1978,Female,188 [173.6-202.8]
Haiti,1977,Both sexes,204.3 [189.5-219.9]
Haiti,1977,Male,215 [199.1-232.2]
Haiti,1977,Female,192.9 [178.2-207.9]
Haiti,1976,Both sexes,209.5 [194.4-225.7]
Haiti,1976,Male,220.5 [204.1-238.2]
Haiti,1976,Female,198.1 [182.9-213.6]
Haiti,1975,Both sexes,214.9 [199.4-231.8]
Haiti,1975,Male,226.1 [209.3-244.7]
Haiti,1975,Female,203.2 [187.5-219.4]
Haiti,1974,Both sexes,220.4 [204.1-237.8]
Haiti,1974,Male,231.9 [214.4-251.2]
Haiti,1974,Female,208.3 [192.1-225.3]
Haiti,1973,Both sexes,225.8 [208.8-244]
Haiti,1973,Male,237.6 [219.2-257.7]
Haiti,1973,Female,213.5 [196.7-231]
Haiti,1972,Both sexes,231 [213.2-250.3]
Haiti,1972,Male,243.1 [223.8-264.3]
Haiti,1972,Female,218.4 [201-237]
Haiti,1971,Both sexes,236.1 [217.6-256.6]
Haiti,1971,Male,248.2 [228.3-270.9]
Haiti,1971,Female,223.3 [205-242.8]
Haiti,1970,Both sexes,241 [221.7-262.3]
Haiti,1970,Male,253.4 [232.7-276.7]
Haiti,1970,Female,227.9 [209-248.6]
Haiti,1969,Both sexes,245.8 [225.6-268.1]
Haiti,1969,Male,258.5 [236.7-282.7]
Haiti,1969,Female,232.6 [212.7-254.3]
Haiti,1968,Both sexes,250.6 [229.2-274]
Haiti,1968,Male,263.5 [240.8-288.8]
Haiti,1968,Female,237.1 [216.1-259.5]
Haiti,1967,Both sexes,255.2 [232.9-280]
Haiti,1967,Male,268.3 [244.3-294.8]
Haiti,1967,Female,241.7 [219.4-265.3]
Haiti,1966,Both sexes,259.8 [236.1-285.8]
Haiti,1966,Male,273 [247.8-301.2]
Haiti,1966,Female,246.1 [222.3-271]
Haiti,1965,Both sexes,264.1 [239.2-291.8]
Haiti,1965,Male,277.5 [250.9-307.6]
Haiti,1965,Female,250.3 [225.6-276.8]
Haiti,1964,Both sexes,268.2 [242-297.9]
Haiti,1964,Male,281.9 [253.6-314]
Haiti,1964,Female,254.2 [228.3-282.7]
Haiti,1963,Both sexes,272.6 [244.3-304.2]
Haiti,1963,Male,285.9 [256.3-320.4]
Haiti,1963,Female,258.1 [230.6-288.7]
Haiti,1962,Both sexes,276.7 [246.6-310.4]
Haiti,1962,Male,290.2 [258.5-327.1]
Haiti,1962,Female,262.3 [233-294.8]
Haiti,1961,Both sexes,281 [248.8-317.2]
Haiti,1961,Male,294.7 [260.7-334.2]
Haiti,1961,Female,266.2 [235.2-301.5]
Haiti,1960,Both sexes,285.3 [250.7-324.4]
Haiti,1960,Male,299.3 [262.9-341.2]
Haiti,1960,Female,270.7 [236.9-308.2]
Haiti,1959,Both sexes,289.9 [252.8-332.5]
Haiti,1959,Male,304.1 [264.6-349.7]
Haiti,1959,Female,275 [239-315.8]
Haiti,1958,Both sexes,294.4 [253.9-341.5]
Haiti,1958,Male,308.9 [266-358.9]
Haiti,1958,Female,279.2 [240.4-324.2]
Haiti,1957,Both sexes,299.4 [254.7-350.9]
Haiti,1957,Male,313.9 [267-368.6]
Haiti,1957,Female,284 [241-333.2]
Haiti,1956,Both sexes,304.3 [254.9-360.4]
Haiti,1956,Male,319.1 [267.3-379.1]
Haiti,1956,Female,288.8 [241.4-342.7]
Honduras,2019,Both sexes,16.81 [11.15-25.18]
Honduras,2019,Male,18.58 [12.35-27.93]
Honduras,2019,Female,14.92 [9.87-22.34]
Honduras,2018,Both sexes,17.39 [11.95-25.15]
Honduras,2018,Male,19.25 [13.23-27.9]
Honduras,2018,Female,15.4 [10.55-22.34]
Honduras,2017,Both sexes,17.95 [12.8-25.13]
Honduras,2017,Male,19.89 [14.21-27.86]
Honduras,2017,Female,15.92 [11.33-22.35]
Honduras,2016,Both sexes,18.61 [13.7-25.1]
Honduras,2016,Male,20.61 [15.19-27.9]
Honduras,2016,Female,16.52 [12.17-22.26]
Honduras,2015,Both sexes,19.27 [14.71-25.09]
Honduras,2015,Male,21.31 [16.26-27.82]
Honduras,2015,Female,17.11 [13.02-22.29]
Honduras,2014,Both sexes,19.99 [15.77-25.1]
Honduras,2014,Male,22.13 [17.45-27.86]
Honduras,2014,Female,17.74 [13.94-22.32]
Honduras,2013,Both sexes,20.72 [16.88-25.26]
Honduras,2013,Male,22.94 [18.67-28.05]
Honduras,2013,Female,18.39 [14.92-22.48]
Honduras,2012,Both sexes,21.52 [18.01-25.59]
Honduras,2012,Male,23.83 [19.87-28.44]
Honduras,2012,Female,19.08 [15.92-22.82]
Honduras,2011,Both sexes,22.38 [19.13-26.15]
Honduras,2011,Male,24.78 [21.1-28.99]
Honduras,2011,Female,19.85 [16.95-23.31]
Honduras,2010,Both sexes,23.34 [20.25-26.89]
Honduras,2010,Male,25.82 [22.28-29.79]
Honduras,2010,Female,20.69 [17.92-23.98]
Honduras,2009,Both sexes,24.36 [21.35-27.8]
Honduras,2009,Male,26.96 [23.51-30.81]
Honduras,2009,Female,21.62 [18.88-24.79]
Honduras,2008,Both sexes,25.46 [22.53-28.85]
Honduras,2008,Male,28.16 [24.82-31.92]
Honduras,2008,Female,22.62 [19.93-25.71]
Honduras,2007,Both sexes,26.64 [23.78-29.93]
Honduras,2007,Male,29.45 [26.18-33.18]
Honduras,2007,Female,23.67 [21.02-26.7]
Honduras,2006,Both sexes,27.88 [25.07-31.11]
Honduras,2006,Male,30.81 [27.56-34.51]
Honduras,2006,Female,24.81 [22.16-27.8]
Honduras,2005,Both sexes,29.2 [26.39-32.42]
Honduras,2005,Male,32.27 [28.99-35.96]
Honduras,2005,Female,26 [23.36-29]
Honduras,2004,Both sexes,30.62 [27.76-33.83]
Honduras,2004,Male,33.77 [30.49-37.43]
Honduras,2004,Female,27.29 [24.62-30.3]
Honduras,2003,Both sexes,32.1 [29.18-35.38]
Honduras,2003,Male,35.33 [32.03-39.07]
Honduras,2003,Female,28.69 [25.99-31.74]
Honduras,2002,Both sexes,33.66 [30.73-37.05]
Honduras,2002,Male,37.06 [33.71-40.85]
Honduras,2002,Female,30.09 [27.35-33.2]
Honduras,2001,Both sexes,35.32 [32.28-38.78]
Honduras,2001,Male,38.87 [35.38-42.78]
Honduras,2001,Female,31.59 [28.75-34.79]
Honduras,2000,Both sexes,37.02 [33.86-40.55]
Honduras,2000,Male,40.64 [37.09-44.65]
Honduras,2000,Female,33.19 [30.23-36.49]
Honduras,1999,Both sexes,38.76 [35.52-42.37]
Honduras,1999,Male,42.45 [38.77-46.58]
Honduras,1999,Female,34.85 [31.79-38.3]
Honduras,1998,Both sexes,58.33 [53.51-63.67]
Honduras,1998,Male,62.16 [56.88-68.22]
Honduras,1998,Female,54.27 [49.57-59.51]
Honduras,1997,Both sexes,42.37 [38.89-46.15]
Honduras,1997,Male,46.31 [42.4-50.7]
Honduras,1997,Female,38.22 [34.94-41.85]
Honduras,1996,Both sexes,44.27 [40.69-48.14]
Honduras,1996,Male,48.37 [44.31-52.83]
Honduras,1996,Female,39.95 [36.57-43.67]
Honduras,1995,Both sexes,46.25 [42.52-50.24]
Honduras,1995,Male,50.48 [46.24-55.02]
Honduras,1995,Female,41.8 [38.26-45.59]
Honduras,1994,Both sexes,48.32 [44.45-52.46]
Honduras,1994,Male,52.73 [48.37-57.48]
Honduras,1994,Female,43.66 [40.01-47.58]
Honduras,1993,Both sexes,50.52 [46.49-54.8]
Honduras,1993,Male,55.05 [50.52-60]
Honduras,1993,Female,45.72 [41.91-49.77]
Honduras,1992,Both sexes,52.87 [48.72-57.3]
Honduras,1992,Male,57.52 [52.89-62.62]
Honduras,1992,Female,47.91 [43.93-52.14]
Honduras,1991,Both sexes,55.33 [51.07-59.96]
Honduras,1991,Male,60.21 [55.39-65.47]
Honduras,1991,Female,50.21 [46.09-54.63]
Honduras,1990,Both sexes,58 [53.53-62.79]
Honduras,1990,Male,63.04 [57.99-68.45]
Honduras,1990,Female,52.72 [48.41-57.36]
Honduras,1989,Both sexes,60.86 [56.19-65.85]
Honduras,1989,Male,66.03 [60.75-71.75]
Honduras,1989,Female,55.4 [50.92-60.18]
Honduras,1988,Both sexes,63.87 [59.02-69.17]
Honduras,1988,Male,69.26 [63.76-75.23]
Honduras,1988,Female,58.24 [53.6-63.29]
Honduras,1987,Both sexes,67.1 [62.03-72.64]
Honduras,1987,Male,72.68 [66.92-79.03]
Honduras,1987,Female,61.3 [56.37-66.59]
Honduras,1986,Both sexes,70.52 [65.23-76.29]
Honduras,1986,Male,76.28 [70.29-82.98]
Honduras,1986,Female,64.5 [59.41-70.09]
Honduras,1985,Both sexes,74.12 [68.52-80.23]
Honduras,1985,Male,79.98 [73.78-87.02]
Honduras,1985,Female,67.96 [62.58-73.84]
Honduras,1984,Both sexes,77.9 [72.02-84.48]
Honduras,1984,Male,83.98 [77.44-91.48]
Honduras,1984,Female,71.52 [65.77-77.81]
Honduras,1983,Both sexes,81.87 [75.71-88.81]
Honduras,1983,Male,88.15 [81.18-96.01]
Honduras,1983,Female,75.27 [69.2-81.96]
Honduras,1982,Both sexes,86 [79.5-93.44]
Honduras,1982,Male,92.55 [85.2-100.9]
Honduras,1982,Female,79.16 [72.71-86.27]
Honduras,1981,Both sexes,90.27 [83.4-98.32]
Honduras,1981,Male,96.99 [89.38-106]
Honduras,1981,Female,83.23 [76.52-90.82]
Honduras,1980,Both sexes,94.74 [87.4-103.4]
Honduras,1980,Male,101.6 [93.53-111.2]
Honduras,1980,Female,87.42 [80.41-95.65]
Honduras,1979,Both sexes,99.3 [91.65-108.6]
Honduras,1979,Male,106.5 [97.93-116.7]
Honduras,1979,Female,91.79 [84.37-100.7]
Honduras,1978,Both sexes,104 [95.87-113.9]
Honduras,1978,Male,111.4 [102.4-122.5]
Honduras,1978,Female,96.27 [88.33-105.8]
Honduras,1977,Both sexes,108.8 [100.3-119.5]
Honduras,1977,Male,116.5 [107-128.2]
Honduras,1977,Female,100.9 [92.52-111.1]
Honduras,1976,Both sexes,113.7 [104.8-125]
Honduras,1976,Male,121.6 [111.7-133.9]
Honduras,1976,Female,105.6 [96.8-116.5]
Honduras,1975,Both sexes,118.8 [109.6-130.6]
Honduras,1975,Male,126.9 [116.5-139.9]
Honduras,1975,Female,110.4 [101.3-122]
Honduras,1974,Both sexes,124 [114.3-136.3]
Honduras,1974,Male,132.3 [121.5-146]
Honduras,1974,Female,115.4 [105.9-127.4]
Honduras,1973,Both sexes,129.3 [119.2-142.1]
Honduras,1973,Male,137.8 [126.6-152]
Honduras,1973,Female,120.5 [110.6-133]
Honduras,1972,Both sexes,134.7 [124.3-147.9]
Honduras,1972,Male,143.5 [132-158]
Honduras,1972,Female,125.6 [115.5-138.6]
Honduras,1971,Both sexes,140.2 [129.6-153.6]
Honduras,1971,Male,149.2 [137.4-163.9]
Honduras,1971,Female,130.9 [120.3-144.1]
Honduras,1970,Both sexes,145.8 [134.9-159.5]
Honduras,1970,Male,154.9 [143-169.9]
Honduras,1970,Female,136.4 [125.6-149.8]
Honduras,1969,Both sexes,151.5 [140.3-165.6]
Honduras,1969,Male,160.8 [148.5-176.1]
Honduras,1969,Female,141.9 [130.8-155.6]
Honduras,1968,Both sexes,157.3 [145.7-171.6]
Honduras,1968,Male,166.7 [154.1-182.2]
Honduras,1968,Female,147.6 [136.2-161.5]
Honduras,1967,Both sexes,163.3 [151.2-177.8]
Honduras,1967,Male,172.8 [159.6-188.2]
Honduras,1967,Female,153.4 [141.3-167.6]
Honduras,1966,Both sexes,169.4 [156.8-183.8]
Honduras,1966,Male,179.1 [165.1-194.8]
Honduras,1966,Female,159.2 [146.7-174]
Honduras,1965,Both sexes,175.5 [162.1-190.6]
Honduras,1965,Male,185.3 [170.5-201.6]
Honduras,1965,Female,165.2 [151.9-180.4]
Honduras,1964,Both sexes,181.7 [167.2-197.8]
Honduras,1964,Male,191.7 [175.6-209.1]
Honduras,1964,Female,171.3 [157-187.3]
Honduras,1963,Both sexes,188 [172.3-205.4]
Honduras,1963,Male,198.2 [180.7-217.1]
Honduras,1963,Female,177.3 [161.9-194.7]
Honduras,1962,Both sexes,194.5 [176.9-213.7]
Honduras,1962,Male,204.9 [185.7-225.9]
Honduras,1962,Female,183.6 [166.4-202.7]
Honduras,1961,Both sexes,201.1 [181.1-222.9]
Honduras,1961,Male,211.9 [190.1-235.4]
Honduras,1961,Female,190 [170.7-211.5]
Honduras,1960,Both sexes,208.1 [185-232.7]
Honduras,1960,Male,218.9 [193.9-245.3]
Honduras,1960,Female,196.8 [174.6-221.2]
Honduras,1959,Both sexes,215.3 [188.3-243.6]
Honduras,1959,Male,226.3 [197.1-256.3]
Honduras,1959,Female,203.7 [177.8-231.3]
Honduras,1958,Both sexes,222.8 [191.1-255.3]
Honduras,1958,Male,233.9 [200.2-268.5]
Honduras,1958,Female,211 [180.7-242.1]
Honduras,1957,Both sexes,230.5 [193-267.5]
Honduras,1957,Male,242 [202.5-281.1]
Honduras,1957,Female,218.3 [183.1-254.2]
Honduras,1956,Both sexes,238.8 [195.6-280.7]
Honduras,1956,Male,250.4 [204.3-295]
Honduras,1956,Female,226.2 [185.2-267.3]
Hungary,2019,Both sexes,3.67 [3.22-4.16]
Hungary,2019,Male,3.96 [3.47-4.5]
Hungary,2019,Female,3.37 [2.95-3.83]
Hungary,2018,Both sexes,3.99 [3.71-4.29]
Hungary,2018,Male,4.3 [3.99-4.64]
Hungary,2018,Female,3.66 [3.4-3.95]
Hungary,2017,Both sexes,4.36 [4.16-4.57]
Hungary,2017,Male,4.7 [4.47-4.94]
Hungary,2017,Female,4 [3.8-4.22]
Hungary,2016,Both sexes,4.75 [4.55-4.96]
Hungary,2016,Male,5.12 [4.89-5.36]
Hungary,2016,Female,4.36 [4.16-4.58]
Hungary,2015,Both sexes,5.12 [4.91-5.34]
Hungary,2015,Male,5.52 [5.28-5.77]
Hungary,2015,Female,4.7 [4.49-4.93]
Hungary,2014,Both sexes,5.42 [5.2-5.65]
Hungary,2014,Male,5.84 [5.59-6.11]
Hungary,2014,Female,4.98 [4.75-5.22]
Hungary,2013,Both sexes,5.62 [5.41-5.84]
Hungary,2013,Male,6.06 [5.82-6.32]
Hungary,2013,Female,5.16 [4.94-5.38]
Hungary,2012,Both sexes,5.75 [5.52-5.99]
Hungary,2012,Male,6.2 [5.94-6.46]
Hungary,2012,Female,5.28 [5.05-5.52]
Hungary,2011,Both sexes,5.86 [5.64-6.09]
Hungary,2011,Male,6.31 [6.06-6.57]
Hungary,2011,Female,5.38 [5.16-5.61]
Hungary,2010,Both sexes,5.99 [5.77-6.22]
Hungary,2010,Male,6.46 [6.2-6.72]
Hungary,2010,Female,5.51 [5.28-5.74]
Hungary,2009,Both sexes,6.21 [5.97-6.44]
Hungary,2009,Male,6.69 [6.42-6.96]
Hungary,2009,Female,5.7 [5.47-5.94]
Hungary,2008,Both sexes,6.51 [6.29-6.73]
Hungary,2008,Male,7.04 [6.79-7.31]
Hungary,2008,Female,5.95 [5.72-6.18]
Hungary,2007,Both sexes,6.86 [6.62-7.11]
Hungary,2007,Male,7.43 [7.14-7.72]
Hungary,2007,Female,6.27 [6.02-6.52]
Hungary,2006,Both sexes,7.2 [6.97-7.45]
Hungary,2006,Male,7.81 [7.52-8.09]
Hungary,2006,Female,6.57 [6.33-6.82]
Hungary,2005,Both sexes,7.54 [7.31-7.79]
Hungary,2005,Male,8.18 [7.9-8.48]
Hungary,2005,Female,6.88 [6.64-7.14]
Hungary,2004,Both sexes,7.94 [7.67-8.22]
Hungary,2004,Male,8.63 [8.32-8.96]
Hungary,2004,Female,7.2 [6.94-7.49]
Hungary,2003,Both sexes,8.4 [8.15-8.67]
Hungary,2003,Male,9.13 [8.84-9.45]
Hungary,2003,Female,7.63 [7.37-7.9]
Hungary,2002,Both sexes,8.95 [8.65-9.24]
Hungary,2002,Male,9.74 [9.41-10.09]
Hungary,2002,Female,8.1 [7.81-8.4]
Hungary,2001,Both sexes,9.54 [9.26-9.83]
Hungary,2001,Male,10.4 [10.07-10.74]
Hungary,2001,Female,8.63 [8.35-8.93]
Hungary,2000,Both sexes,10.15 [9.86-10.44]
Hungary,2000,Male,11.09 [10.75-11.44]
Hungary,2000,Female,9.15 [8.85-9.46]
Hungary,1999,Both sexes,10.69 [10.37-11.02]
Hungary,1999,Male,11.7 [11.32-12.09]
Hungary,1999,Female,9.63 [9.31-9.96]
Hungary,1998,Both sexes,11.13 [10.84-11.43]
Hungary,1998,Male,12.22 [11.86-12.58]
Hungary,1998,Female,9.99 [9.69-10.3]
Hungary,1997,Both sexes,11.51 [11.19-11.85]
Hungary,1997,Male,12.64 [12.26-13.04]
Hungary,1997,Female,10.32 [10-10.67]
Hungary,1996,Both sexes,11.9 [11.59-12.23]
Hungary,1996,Male,13.07 [12.7-13.45]
Hungary,1996,Female,10.67 [10.35-11.01]
Hungary,1995,Both sexes,12.43 [12.11-12.75]
Hungary,1995,Male,13.69 [13.31-14.07]
Hungary,1995,Female,11.11 [10.78-11.44]
Hungary,1994,Both sexes,13.29 [12.94-13.63]
Hungary,1994,Male,14.65 [14.25-15.07]
Hungary,1994,Female,11.85 [11.5-12.21]
Hungary,1993,Both sexes,14.52 [14.2-14.86]
Hungary,1993,Male,16.03 [15.64-16.43]
Hungary,1993,Female,12.93 [12.59-13.28]
Hungary,1992,Both sexes,15.8 [15.4-16.2]
Hungary,1992,Male,17.45 [16.99-17.95]
Hungary,1992,Female,14.06 [13.65-14.47]
Hungary,1991,Both sexes,16.66 [16.28-17.06]
Hungary,1991,Male,18.43 [17.98-18.92]
Hungary,1991,Female,14.8 [14.4-15.21]
Hungary,1990,Both sexes,17.17 [16.77-17.56]
Hungary,1990,Male,19 [18.53-19.49]
Hungary,1990,Female,15.25 [14.83-15.65]
Hungary,1989,Both sexes,17.71 [17.26-18.15]
Hungary,1989,Male,19.62 [19.08-20.16]
Hungary,1989,Female,15.7 [15.25-16.14]
Hungary,1988,Both sexes,18.55 [18.11-18.96]
Hungary,1988,Male,20.58 [20.06-21.08]
Hungary,1988,Female,16.4 [15.97-16.84]
Hungary,1987,Both sexes,19.6 [19.12-20.09]
Hungary,1987,Male,21.8 [21.22-22.4]
Hungary,1987,Female,17.3 [16.81-17.78]
Hungary,1986,Both sexes,20.75 [20.27-21.25]
Hungary,1986,Male,23.09 [22.51-23.69]
Hungary,1986,Female,18.28 [17.81-18.78]
Hungary,1985,Both sexes,21.7 [21.2-22.24]
Hungary,1985,Male,24.15 [23.55-24.8]
Hungary,1985,Female,19.13 [18.63-19.67]
Hungary,1984,Both sexes,22.1 [21.57-22.69]
Hungary,1984,Male,24.61 [23.96-25.3]
Hungary,1984,Female,19.47 [18.95-20.04]
Hungary,1983,Both sexes,21.93 [21.45-22.42]
Hungary,1983,Male,24.44 [23.86-25.03]
Hungary,1983,Female,19.29 [18.82-19.77]
Hungary,1982,Both sexes,21.83 [21.27-22.39]
Hungary,1982,Male,24.35 [23.68-25.02]
Hungary,1982,Female,19.18 [18.64-19.72]
Hungary,1981,Both sexes,22.45 [21.93-22.98]
Hungary,1981,Male,25.04 [24.41-25.68]
Hungary,1981,Female,19.72 [19.21-20.25]
Hungary,1980,Both sexes,23.76 [23.2-24.33]
Hungary,1980,Male,26.48 [25.82-27.17]
Hungary,1980,Female,20.88 [20.35-21.46]
Hungary,1979,Both sexes,25.31 [24.68-25.97]
Hungary,1979,Male,28.22 [27.49-29]
Hungary,1979,Female,22.25 [21.64-22.89]
Hungary,1978,Both sexes,26.9 [26.31-27.52]
Hungary,1978,Male,30 [29.3-30.73]
Hungary,1978,Female,23.66 [23.08-24.27]
Hungary,1977,Both sexes,29.01 [28.26-29.76]
Hungary,1977,Male,32.25 [31.4-33.14]
Hungary,1977,Female,25.59 [24.87-26.33]
Hungary,1976,Both sexes,32.16 [31.42-32.92]
Hungary,1976,Male,35.66 [34.79-36.55]
Hungary,1976,Female,28.47 [27.75-29.24]
Hungary,1975,Both sexes,35.78 [34.94-36.67]
Hungary,1975,Male,39.6 [38.64-40.64]
Hungary,1975,Female,31.76 [30.93-32.61]
Hungary,1974,Both sexes,38.22 [37.23-39.26]
Hungary,1974,Male,42.25 [41.11-43.46]
Hungary,1974,Female,33.99 [33.03-34.97]
Hungary,1973,Both sexes,38.54 [37.68-39.4]
Hungary,1973,Male,42.68 [41.66-43.7]
Hungary,1973,Female,34.18 [33.35-35.03]
Hungary,1972,Both sexes,37.98 [37.01-38.92]
Hungary,1972,Male,42.06 [40.92-43.16]
Hungary,1972,Female,33.69 [32.76-34.6]
Hungary,1971,Both sexes,37.97 [37.08-38.89]
Hungary,1971,Male,42 [40.95-43.08]
Hungary,1971,Female,33.75 [32.88-34.64]
Hungary,1970,Both sexes,38.75 [37.85-39.65]
Hungary,1970,Male,42.81 [41.76-43.86]
