Location,Period,Dimension,Under-five mortality rate (probability of dying by age 5 per 1000 live births)
Ethiopia,1967,Female,231 [184.2-287.6]
Ethiopia,1966,Both sexes,246.1 [192.2-311.9]
Ethiopia,1966,Male,260.4 [202.8-330.2]
Ethiopia,1966,Female,231.4 [180-294.2]
Fiji,2019,Both sexes,25.69 [22.97-28.79]
Fiji,2019,Male,27.87 [24.86-31.31]
Fiji,2019,Female,23.4 [20.83-26.27]
Fiji,2018,Both sexes,25.56 [23.46-27.87]
Fiji,2018,Male,27.73 [25.36-30.32]
Fiji,2018,Female,23.29 [21.24-25.49]
Fiji,2017,Both sexes,25.19 [23.51-27.02]
Fiji,2017,Male,27.33 [25.39-29.43]
Fiji,2017,Female,22.95 [21.28-24.75]
Fiji,2016,Both sexes,24.74 [23.28-26.3]
Fiji,2016,Male,26.81 [25.12-28.63]
Fiji,2016,Female,22.57 [21.07-24.12]
Fiji,2015,Both sexes,24.31 [22.96-25.7]
Fiji,2015,Male,26.33 [24.77-27.99]
Fiji,2015,Female,22.18 [20.79-23.6]
Fiji,2014,Both sexes,23.95 [22.69-25.28]
Fiji,2014,Male,25.93 [24.46-27.5]
Fiji,2014,Female,21.87 [20.56-23.22]
Fiji,2013,Both sexes,23.71 [22.54-24.95]
Fiji,2013,Male,25.65 [24.29-27.15]
Fiji,2013,Female,21.66 [20.45-22.93]
Fiji,2012,Both sexes,23.6 [22.56-24.74]
Fiji,2012,Male,25.52 [24.28-26.88]
Fiji,2012,Female,21.58 [20.48-22.75]
Fiji,2011,Both sexes,23.59 [22.67-24.61]
Fiji,2011,Male,25.5 [24.36-26.74]
Fiji,2011,Female,21.58 [20.56-22.67]
Fiji,2010,Both sexes,23.67 [22.8-24.59]
Fiji,2010,Male,25.58 [24.51-26.73]
Fiji,2010,Female,21.66 [20.69-22.66]
Fiji,2009,Both sexes,23.75 [22.93-24.61]
Fiji,2009,Male,25.65 [24.63-26.74]
Fiji,2009,Female,21.73 [20.83-22.69]
