Location,Period,Dimension,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births)
Morocco,2019,Male,20.24 [15.24-26.77]
Morocco,2019,Female,16.36 [12.27-21.61]
Morocco,2018,Both sexes,19.08 [14.71-24.49]
Morocco,2018,Male,21.03 [16.21-27.14]
Morocco,2018,Female,17 [13.08-21.94]
Morocco,2017,Both sexes,19.86 [15.69-25.01]
Morocco,2017,Male,21.92 [17.25-27.65]
Morocco,2017,Female,17.71 [13.94-22.41]
Morocco,2016,Both sexes,20.73 [16.73-25.66]
Morocco,2016,Male,22.87 [18.38-28.31]
Morocco,2016,Female,18.5 [14.85-22.98]
Morocco,2015,Both sexes,21.69 [17.82-26.3]
Morocco,2015,Male,23.88 [19.57-29.03]
Morocco,2015,Female,19.36 [15.83-23.58]
Morocco,2014,Both sexes,22.72 [18.99-27.05]
Morocco,2014,Male,25.02 [20.87-29.85]
Morocco,2014,Female,20.3 [16.88-24.29]
Morocco,2013,Both sexes,23.79 [20.19-27.87]
Morocco,2013,Male,26.21 [22.16-30.74]
Morocco,2013,Female,21.26 [17.97-25]
Morocco,2012,Both sexes,24.93 [21.44-28.77]
Morocco,2012,Male,27.45 [23.55-31.69]
Morocco,2012,Female,22.28 [19.09-25.81]
Morocco,2011,Both sexes,26.1 [22.71-29.72]
Morocco,2011,Male,28.71 [24.89-32.78]
Morocco,2011,Female,23.34 [20.21-26.74]
Morocco,2010,Both sexes,27.28 [24.01-30.77]
Morocco,2010,Male,30 [26.29-33.94]
Morocco,2010,Female,24.42 [21.34-27.75]
Morocco,2009,Both sexes,28.51 [25.34-31.96]
Morocco,2009,Male,31.36 [27.68-35.22]
Morocco,2009,Female,25.55 [22.51-28.78]
Morocco,2008,Both sexes,29.78 [26.6-33.17]
Morocco,2008,Male,32.72 [29.08-36.53]
Morocco,2008,Female,26.74 [23.7-29.96]
Morocco,2007,Both sexes,31.1 [27.89-34.49]
Morocco,2007,Male,34.16 [30.46-38.01]
Morocco,2007,Female,27.91 [24.89-31.15]
Morocco,2006,Both sexes,32.45 [29.2-35.91]
Morocco,2006,Male,35.61 [31.92-39.53]
Morocco,2006,Female,29.14 [26.07-32.44]
Morocco,2005,Both sexes,33.85 [30.55-37.33]
Morocco,2005,Male,37.1 [33.35-41.04]
Morocco,2005,Female,30.45 [27.3-33.78]
Morocco,2004,Both sexes,35.33 [31.99-38.83]
Morocco,2004,Male,38.69 [34.84-42.67]
Morocco,2004,Female,31.78 [28.59-35.15]
Morocco,2003,Both sexes,36.82 [33.49-40.39]
Morocco,2003,Male,40.3 [36.41-44.33]
Morocco,2003,Female,33.17 [29.94-36.65]
Morocco,2002,Both sexes,38.36 [34.95-42.03]
Morocco,2002,Male,41.97 [38.01-46.14]
Morocco,2002,Female,34.56 [31.33-38.14]
Morocco,2001,Both sexes,39.99 [36.5-43.65]
Morocco,2001,Male,43.71 [39.68-47.89]
Morocco,2001,Female,36.08 [32.77-39.69]
Morocco,2000,Both sexes,41.7 [38.14-45.34]
Morocco,2000,Male,45.53 [41.42-49.71]
Morocco,2000,Female,37.66 [34.32-41.25]
Morocco,1999,Both sexes,43.48 [39.9-47.14]
Morocco,1999,Male,47.4 [43.25-51.59]
Morocco,1999,Female,39.34 [35.95-42.94]
Morocco,1998,Both sexes,45.33 [41.79-48.99]
Morocco,1998,Male,49.34 [45.26-53.55]
Morocco,1998,Female,41.05 [37.65-44.67]
Morocco,1997,Both sexes,47.24 [43.73-50.87]
Morocco,1997,Male,51.36 [47.37-55.55]
Morocco,1997,Female,42.87 [39.55-46.48]
Morocco,1996,Both sexes,49.24 [45.8-52.85]
Morocco,1996,Male,53.48 [49.51-57.69]
Morocco,1996,Female,44.76 [41.4-48.41]
Morocco,1995,Both sexes,51.32 [47.92-54.9]
Morocco,1995,Male,55.68 [51.73-59.83]
Morocco,1995,Female,46.75 [43.37-50.38]
Morocco,1994,Both sexes,53.47 [50.06-57.03]
Morocco,1994,Male,57.91 [53.97-62.02]
Morocco,1994,Female,48.78 [45.4-52.46]
Morocco,1993,Both sexes,55.63 [52.22-59.24]
Morocco,1993,Male,60.21 [56.25-64.35]
Morocco,1993,Female,50.83 [47.43-54.47]
Morocco,1992,Both sexes,57.87 [54.42-61.46]
Morocco,1992,Male,62.54 [58.54-66.64]
Morocco,1992,Female,52.95 [49.53-56.64]
Morocco,1991,Both sexes,60.12 [56.64-63.75]
Morocco,1991,Male,64.92 [60.91-69.08]
Morocco,1991,Female,55.05 [51.58-58.84]
Morocco,1990,Both sexes,62.47 [58.92-66.2]
Morocco,1990,Male,67.43 [63.37-71.62]
Morocco,1990,Female,57.28 [53.73-61.09]
Morocco,1989,Both sexes,64.94 [61.31-68.75]
Morocco,1989,Male,70 [65.87-74.3]
Morocco,1989,Female,59.64 [56.02-63.48]
Morocco,1988,Both sexes,67.56 [63.89-71.4]
Morocco,1988,Male,72.73 [68.51-77.1]
Morocco,1988,Female,62.17 [58.47-66.02]
Morocco,1987,Both sexes,70.37 [66.58-74.24]
Morocco,1987,Male,75.68 [71.39-80.1]
Morocco,1987,Female,64.83 [61.04-68.68]
Morocco,1986,Both sexes,73.37 [69.56-77.27]
Morocco,1986,Male,78.77 [74.4-83.19]
Morocco,1986,Female,67.69 [63.77-71.62]
Morocco,1985,Both sexes,76.51 [72.61-80.43]
Morocco,1985,Male,82.03 [77.61-86.55]
Morocco,1985,Female,70.71 [66.72-74.7]
Morocco,1984,Both sexes,79.8 [75.87-83.74]
Morocco,1984,Male,85.42 [81-90]
Morocco,1984,Female,73.89 [69.84-77.95]
Morocco,1983,Both sexes,83.18 [79.21-87.06]
Morocco,1983,Male,88.9 [84.42-93.41]
Morocco,1983,Female,77.16 [72.99-81.22]
Morocco,1982,Both sexes,86.54 [82.6-90.47]
Morocco,1982,Male,92.39 [87.88-96.9]
Morocco,1982,Female,80.4 [76.29-84.58]
Morocco,1981,Both sexes,89.9 [85.98-93.94]
Morocco,1981,Male,95.77 [91.33-100.5]
Morocco,1981,Female,83.69 [79.52-87.97]
Morocco,1980,Both sexes,93.27 [89.23-97.46]
Morocco,1980,Male,99.33 [94.77-104.2]
Morocco,1980,Female,86.9 [82.64-91.31]
Morocco,1979,Both sexes,96.64 [92.53-101]
Morocco,1979,Male,102.7 [97.95-107.8]
Morocco,1979,Female,90.21 [85.8-94.82]
Morocco,1978,Both sexes,99.98 [95.67-104.6]
Morocco,1978,Male,106.2 [101.3-111.5]
Morocco,1978,Female,93.37 [88.84-98.27]
Morocco,1977,Both sexes,103.3 [98.75-108.1]
Morocco,1977,Male,109.6 [104.5-115.2]
Morocco,1977,Female,96.52 [91.74-101.5]
Morocco,1976,Both sexes,106.3 [101.6-111.4]
Morocco,1976,Male,113 [107.6-118.9]
Morocco,1976,Female,99.26 [94.29-104.5]
Morocco,1975,Both sexes,109.2 [104.3-114.4]
Morocco,1975,Male,116.2 [110.5-122.3]
Morocco,1975,Female,101.8 [96.61-107.2]
Morocco,1974,Both sexes,111.7 [106.7-117.1]
Morocco,1974,Male,119 [113.2-125.4]
Morocco,1974,Female,104 [98.71-109.6]
Morocco,1973,Both sexes,114 [108.9-119.6]
Morocco,1973,Male,121.6 [115.6-128]
Morocco,1973,Female,106 [100.6-111.7]
Morocco,1972,Both sexes,116.1 [110.8-121.8]
Morocco,1972,Male,124 [117.7-130.6]
Morocco,1972,Female,107.8 [102.3-113.7]
Morocco,1971,Both sexes,118.2 [112.6-124.1]
Morocco,1971,Male,126.2 [119.7-133]
Morocco,1971,Female,109.7 [103.9-115.9]
Morocco,1970,Both sexes,120.2 [114.4-126.4]
Morocco,1970,Male,128.4 [121.7-135.5]
Morocco,1970,Female,111.6 [105.5-118.1]
Morocco,1969,Both sexes,122.4 [116.3-128.9]
Morocco,1969,Male,130.8 [123.7-138.3]
Morocco,1969,Female,113.6 [107.2-120.4]
Morocco,1968,Both sexes,124.7 [118.4-131.6]
Morocco,1968,Male,133.3 [125.9-141.2]
Morocco,1968,Female,115.7 [109.2-122.9]
Morocco,1967,Both sexes,127.2 [120.5-134.4]
Morocco,1967,Male,135.9 [128.2-144.3]
Morocco,1967,Female,118 [111.1-125.7]
Morocco,1966,Both sexes,129.8 [122.7-137.5]
Morocco,1966,Male,138.6 [130.4-147.4]
Morocco,1966,Female,120.4 [113.2-128.4]
Morocco,1965,Both sexes,132.3 [124.9-140.5]
Morocco,1965,Male,141.4 [132.7-150.8]
Morocco,1965,Female,122.7 [115.1-131.2]
Morocco,1964,Both sexes,134.9 [126.9-143.5]
Morocco,1964,Male,144.1 [134.8-154]
Morocco,1964,Female,125.1 [116.9-133.9]
Morocco,1963,Both sexes,137.4 [128.8-146.6]
Morocco,1963,Male,146.7 [136.9-157.3]
Morocco,1963,Female,127.3 [118.6-136.8]
Morocco,1962,Both sexes,139.8 [130.5-149.9]
Morocco,1962,Male,149.4 [138.8-160.7]
Morocco,1962,Female,129.5 [120.1-139.8]
Morocco,1961,Both sexes,142.1 [132-153]
Morocco,1961,Male,152 [140.6-164.1]
Morocco,1961,Female,131.6 [121.5-142.8]
Morocco,1960,Both sexes,144.5 [133.4-156.3]
Morocco,1960,Male,154.5 [142.2-167.7]
Morocco,1960,Female,133.8 [122.9-145.8]
Morocco,1959,Both sexes,146.8 [134.7-159.8]
Morocco,1959,Male,157.2 [143.5-171.7]
Morocco,1959,Female,135.9 [124.1-149]
Morocco,1958,Both sexes,149.1 [135.8-163.8]
Morocco,1958,Male,159.8 [144.8-176]
Morocco,1958,Female,138 [125.2-152.4]
Morocco,1957,Both sexes,151.5 [136.7-168.2]
Morocco,1957,Male,162.4 [145.9-180.7]
Morocco,1957,Female,140 [125.9-156.4]
Morocco,1956,Both sexes,154 [137.5-173.1]
Morocco,1956,Male,165.1 [146.6-186.1]
Morocco,1956,Female,142.4 [126.7-161]
Mozambique,2019,Both sexes,54.77 [40.29-76.25]
Mozambique,2019,Male,58.78 [43.34-81.71]
Mozambique,2019,Female,50.61 [37.22-70.42]
Mozambique,2018,Both sexes,56.37 [42.76-76.16]
Mozambique,2018,Male,60.39 [45.72-81.69]
Mozambique,2018,Female,52.17 [39.49-70.57]
Mozambique,2017,Both sexes,57.94 [45.34-75.73]
Mozambique,2017,Male,62.06 [48.42-81.18]
Mozambique,2017,Female,53.67 [41.98-70.44]
Mozambique,2016,Both sexes,59.84 [48.21-75.97]
Mozambique,2016,Male,63.89 [51.45-81.08]
Mozambique,2016,Female,55.52 [44.65-70.58]
Mozambique,2015,Both sexes,61.55 [50.87-75.68]
Mozambique,2015,Male,65.7 [54.29-81.04]
Mozambique,2015,Female,57.15 [47.21-70.43]
Mozambique,2014,Both sexes,63.18 [53.63-75.57]
Mozambique,2014,Male,67.38 [57.19-80.81]
Mozambique,2014,Female,58.71 [49.7-70.31]
Mozambique,2013,Both sexes,64.71 [56.3-75.24]
Mozambique,2013,Male,69.01 [59.95-80.31]
Mozambique,2013,Female,60.26 [52.25-70.26]
Mozambique,2012,Both sexes,66.42 [59.07-75.05]
Mozambique,2012,Male,70.75 [62.8-80.24]
Mozambique,2012,Female,61.88 [54.82-70.21]
Mozambique,2011,Both sexes,68.84 [62.45-76.31]
Mozambique,2011,Male,73.35 [66.22-81.35]
Mozambique,2011,Female,64.25 [58.03-71.45]
Mozambique,2010,Both sexes,72.43 [66.45-79.06]
Mozambique,2010,Male,76.97 [70.43-84.32]
Mozambique,2010,Female,67.64 [61.8-74.26]
Mozambique,2009,Both sexes,72.98 [67.44-79.23]
Mozambique,2009,Male,77.52 [71.4-84.4]
Mozambique,2009,Female,68.21 [62.7-74.34]
Mozambique,2008,Both sexes,76.01 [70.37-82.26]
Mozambique,2008,Male,80.65 [74.44-87.48]
Mozambique,2008,Female,71.12 [65.54-77.36]
Mozambique,2007,Both sexes,78.63 [72.77-84.91]
Mozambique,2007,Male,83.27 [76.9-90.22]
Mozambique,2007,Female,73.72 [67.81-80.07]
Mozambique,2006,Both sexes,83.49 [77.23-90.11]
Mozambique,2006,Male,88.32 [81.46-95.58]
Mozambique,2006,Female,78.39 [72.18-85.02]
Mozambique,2005,Both sexes,87.05 [80.66-93.85]
Mozambique,2005,Male,91.91 [84.86-99.49]
Mozambique,2005,Female,81.9 [75.54-88.8]
Mozambique,2004,Both sexes,90.97 [84.33-98.22]
Mozambique,2004,Male,95.88 [88.66-103.7]
Mozambique,2004,Female,85.83 [79.26-92.99]
Mozambique,2003,Both sexes,95.36 [88.52-102.9]
Mozambique,2003,Male,100.3 [92.86-108.4]
Mozambique,2003,Female,90.24 [83.43-97.65]
Mozambique,2002,Both sexes,100.3 [93.21-108.1]
Mozambique,2002,Male,105.3 [97.65-113.7]
Mozambique,2002,Female,95.13 [87.99-102.8]
Mozambique,2001,Both sexes,105.9 [98.51-113.9]
Mozambique,2001,Male,111 [103.1-119.7]
Mozambique,2001,Female,100.5 [93.06-108.5]
Mozambique,2000,Both sexes,112 [104.3-120.2]
Mozambique,2000,Male,117.3 [109.1-126.2]
Mozambique,2000,Female,106.5 [98.65-114.8]
Mozambique,1999,Both sexes,118.4 [110.6-127]
Mozambique,1999,Male,123.9 [115.5-133.1]
Mozambique,1999,Female,112.7 [104.8-121.3]
Mozambique,1998,Both sexes,125.1 [117.1-134.5]
Mozambique,1998,Male,130.8 [122.2-140.8]
Mozambique,1998,Female,119.2 [111-128.5]
Mozambique,1997,Both sexes,132.1 [123.2-142.1]
Mozambique,1997,Male,138 [128.5-148.7]
Mozambique,1997,Female,125.9 [117-135.8]
Mozambique,1996,Both sexes,138.6 [129.2-149.3]
Mozambique,1996,Male,144.9 [134.7-156.1]
Mozambique,1996,Female,132.2 [122.8-142.7]
Mozambique,1995,Both sexes,144.4 [134.7-155.5]
Mozambique,1995,Male,151 [140.3-162.8]
Mozambique,1995,Female,137.6 [128-148.7]
Mozambique,1994,Both sexes,149.2 [138.9-161.3]
Mozambique,1994,Male,156.2 [145.2-168.8]
Mozambique,1994,Female,142.1 [132-154.1]
Mozambique,1993,Both sexes,153.2 [142.6-165.9]
Mozambique,1993,Male,160.3 [148.9-173.7]
Mozambique,1993,Female,145.8 [135.4-158.7]
Mozambique,1992,Both sexes,156.7 [145.4-170]
Mozambique,1992,Male,163.8 [151.7-177.7]
Mozambique,1992,Female,149.2 [138.1-162.6]
Mozambique,1991,Both sexes,159.4 [147.7-173.1]
Mozambique,1991,Male,166.6 [154.1-181.3]
Mozambique,1991,Female,151.8 [140.2-165.5]
Mozambique,1990,Both sexes,161.7 [149.4-175.9]
Mozambique,1990,Male,169.2 [155.8-184.3]
Mozambique,1990,Female,154 [141.9-168.1]
Mozambique,1989,Both sexes,163.9 [150.9-178.6]
Mozambique,1989,Male,171.5 [157.4-187.2]
Mozambique,1989,Female,156.1 [143.2-170.7]
Mozambique,1988,Both sexes,166 [152.4-181.1]
Mozambique,1988,Male,173.6 [158.9-190.1]
Mozambique,1988,Female,158 [144.6-173]
Mozambique,1987,Both sexes,168 [153.8-183.9]
Mozambique,1987,Male,175.7 [160.4-193]
Mozambique,1987,Female,159.9 [145.9-175.6]
Mozambique,1986,Both sexes,170.2 [155.3-186.7]
Mozambique,1986,Male,177.9 [161.9-196]
Mozambique,1986,Female,162 [147.2-178.2]
Mozambique,1985,Both sexes,172.2 [156.9-189.8]
Mozambique,1985,Male,180.3 [163.7-199.1]
Mozambique,1985,Female,163.9 [148.6-181]
Mozambique,1984,Both sexes,174.1 [158.1-192.7]
Mozambique,1984,Male,182.3 [165.1-202.3]
Mozambique,1984,Female,165.5 [149.7-183.6]
Mozambique,1983,Both sexes,175.7 [159.1-195]
Mozambique,1983,Male,184 [166.1-205.1]
Mozambique,1983,Female,166.7 [150.5-185.5]
Mozambique,1982,Both sexes,176.6 [159.2-196.8]
Mozambique,1982,Male,185.2 [166.5-207.1]
Mozambique,1982,Female,167.5 [150.6-187]
Mozambique,1981,Both sexes,177.2 [159.2-198.1]
Mozambique,1981,Male,185.9 [166.4-208.5]
Mozambique,1981,Female,168.1 [150.4-188.4]
Mozambique,1980,Both sexes,177.5 [158.3-199.5]
Mozambique,1980,Male,186.2 [165.9-210.2]
Mozambique,1980,Female,168.4 [149.8-189.7]
Mozambique,1979,Both sexes,177.8 [157.3-200.9]
Mozambique,1979,Male,186.5 [164.7-211.6]
Mozambique,1979,Female,168.5 [148.6-191.1]
Mozambique,1978,Both sexes,178.2 [156.3-202.9]
Mozambique,1978,Male,187 [163.6-213.7]
Mozambique,1978,Female,168.9 [147.6-192.8]
Mozambique,1977,Both sexes,178.7 [155.3-205.6]
Mozambique,1977,Male,187.7 [162.7-216.3]
Mozambique,1977,Female,169.4 [146.5-195.6]
Mozambique,1976,Both sexes,179.6 [154.3-208.5]
Mozambique,1976,Male,188.5 [161.5-219.6]
Mozambique,1976,Female,170 [145.5-198.1]
Mozambique,1975,Both sexes,180.5 [153.2-211.8]
Mozambique,1975,Male,189.4 [160.7-223.1]
Mozambique,1975,Female,170.9 [144.8-201.1]
Mozambique,1974,Both sexes,181.4 [152.8-215.2]
Mozambique,1974,Male,190.6 [159.9-227]
Mozambique,1974,Female,171.7 [144.1-204.5]
Mozambique,1973,Both sexes,182.3 [151.8-218.9]
Mozambique,1973,Male,191.5 [159-230.7]
Mozambique,1973,Female,172.6 [143.6-207.7]
Mozambique,1972,Both sexes,183.1 [150.9-222.2]
Mozambique,1972,Male,192.5 [158.4-234.2]
Mozambique,1972,Female,173.4 [142.5-211.1]
Mozambique,1971,Both sexes,183.7 [149.8-226.2]
Mozambique,1971,Male,192.9 [157.3-238]
Mozambique,1971,Female,173.7 [141.5-214.4]
Mozambique,1970,Both sexes,184.1 [148.5-229.1]
Mozambique,1970,Male,193.6 [156.3-241.8]
Mozambique,1970,Female,174.3 [139.9-217.3]
Mozambique,1969,Both sexes,184.3 [146.7-232.7]
Mozambique,1969,Male,194 [154.4-245]
Mozambique,1969,Female,174.4 [138.2-220.1]
Mozambique,1968,Both sexes,184.3 [144.3-236.3]
Mozambique,1968,Male,193.8 [151.8-248.8]
Mozambique,1968,Female,174.2 [136.2-223.7]
Mozambique,1967,Both sexes,184.2 [141.9-239.9]
Mozambique,1967,Male,193.7 [149.3-252.9]
Mozambique,1967,Female,174.1 [133.8-227.1]
Mozambique,1966,Both sexes,183.5 [139.5-243.8]
Mozambique,1966,Male,193 [146.2-257.3]
Mozambique,1966,Female,173.4 [131.7-230.8]
Mozambique,1965,Both sexes,182.5 [136.6-248.4]
Mozambique,1965,Male,192.2 [143.3-262]
Mozambique,1965,Female,172.6 [128.9-234.8]
Mozambique,1964,Both sexes,181.7 [133.4-253]
Mozambique,1964,Male,191.3 [139.9-266.7]
Mozambique,1964,Female,171.5 [125.8-238.3]
Myanmar,2019,Both sexes,35.75 [25.85-48.03]
Myanmar,2019,Male,39.53 [28.47-53.2]
Myanmar,2019,Female,31.81 [22.85-42.86]
Myanmar,2018,Both sexes,36.95 [27.41-48.11]
Myanmar,2018,Male,40.8 [30.25-53.26]
Myanmar,2018,Female,32.85 [24.22-42.85]
Myanmar,2017,Both sexes,38.18 [29.15-48.1]
Myanmar,2017,Male,42.16 [32.18-53.29]
Myanmar,2017,Female,33.95 [25.83-43.05]
Myanmar,2016,Both sexes,39.44 [30.8-48.48]
Myanmar,2016,Male,43.5 [34.03-53.68]
Myanmar,2016,Female,35.05 [27.36-43.31]
Myanmar,2015,Both sexes,40.72 [32.66-49.05]
Myanmar,2015,Male,44.86 [35.98-54.16]
Myanmar,2015,Female,36.26 [28.98-43.87]
Myanmar,2014,Both sexes,42.05 [34.51-49.79]
Myanmar,2014,Male,46.38 [38.02-55.04]
Myanmar,2014,Female,37.52 [30.66-44.6]
Myanmar,2013,Both sexes,43.51 [36.45-50.8]
Myanmar,2013,Male,47.99 [40.05-55.97]
Myanmar,2013,Female,38.87 [32.37-45.57]
Myanmar,2012,Both sexes,45.13 [38.55-51.96]
Myanmar,2012,Male,49.78 [42.32-57.31]
Myanmar,2012,Female,40.33 [34.29-46.59]
Myanmar,2011,Both sexes,46.81 [40.79-53.15]
Myanmar,2011,Male,51.6 [44.74-58.67]
Myanmar,2011,Female,41.86 [36.21-47.76]
Myanmar,2010,Both sexes,48.61 [42.93-54.46]
Myanmar,2010,Male,53.46 [47.08-60.11]
Myanmar,2010,Female,43.41 [38.21-48.96]
Myanmar,2009,Both sexes,50.33 [45.12-55.87]
Myanmar,2009,Male,55.41 [49.45-61.7]
Myanmar,2009,Female,45 [40.06-50.26]
Myanmar,2008,Both sexes,56.37 [51.11-62.02]
Myanmar,2008,Male,61.58 [55.59-68.04]
Myanmar,2008,Female,50.88 [45.78-56.4]
Myanmar,2007,Both sexes,53.81 [49.2-58.84]
Myanmar,2007,Male,59.15 [53.79-64.93]
Myanmar,2007,Female,48.18 [43.69-53.06]
Myanmar,2006,Both sexes,55.49 [51.06-60.41]
Myanmar,2006,Male,61 [55.83-66.65]
Myanmar,2006,Female,49.72 [45.3-54.56]
Myanmar,2005,Both sexes,57.15 [52.81-61.96]
Myanmar,2005,Male,62.8 [57.78-68.4]
Myanmar,2005,Female,51.21 [46.93-55.92]
Myanmar,2004,Both sexes,58.79 [54.47-63.5]
Myanmar,2004,Male,64.56 [59.53-70.11]
Myanmar,2004,Female,52.72 [48.41-57.37]
Myanmar,2003,Both sexes,60.38 [56.03-65.04]
Myanmar,2003,Male,66.3 [61.25-71.88]
Myanmar,2003,Female,54.14 [49.79-58.74]
Myanmar,2002,Both sexes,61.95 [57.55-66.62]
Myanmar,2002,Male,67.99 [62.95-73.51]
Myanmar,2002,Female,55.56 [51.23-60.18]
Myanmar,2001,Both sexes,63.46 [59.05-68.2]
Myanmar,2001,Male,69.65 [64.6-75.22]
Myanmar,2001,Female,56.91 [52.54-61.63]
Myanmar,2000,Both sexes,64.98 [60.59-69.78]
Myanmar,2000,Male,71.3 [66.18-77.01]
Myanmar,2000,Female,58.3 [53.82-63.06]
Myanmar,1999,Both sexes,66.48 [62.09-71.36]
Myanmar,1999,Male,72.95 [67.77-78.74]
Myanmar,1999,Female,59.65 [55.17-64.58]
Myanmar,1998,Both sexes,68.01 [63.52-73.04]
Myanmar,1998,Male,74.57 [69.35-80.45]
Myanmar,1998,Female,61.07 [56.52-66.18]
Myanmar,1997,Both sexes,69.57 [64.98-74.79]
Myanmar,1997,Male,76.28 [70.94-82.36]
Myanmar,1997,Female,62.51 [57.89-67.77]
Myanmar,1996,Both sexes,71.17 [66.44-76.6]
Myanmar,1996,Male,78.07 [72.5-84.46]
Myanmar,1996,Female,63.97 [59.21-69.39]
Myanmar,1995,Both sexes,72.82 [67.96-78.42]
Myanmar,1995,Male,79.86 [74.05-86.45]
Myanmar,1995,Female,65.48 [60.55-71.07]
Myanmar,1994,Both sexes,74.49 [69.41-80.33]
Myanmar,1994,Male,81.69 [75.65-88.49]
Myanmar,1994,Female,66.98 [61.9-72.72]
Myanmar,1993,Both sexes,76.15 [70.93-82.23]
Myanmar,1993,Male,83.51 [77.25-90.5]
Myanmar,1993,Female,68.51 [63.3-74.49]
Myanmar,1992,Both sexes,77.87 [72.4-84.1]
Myanmar,1992,Male,85.33 [78.85-92.67]
Myanmar,1992,Female,70.04 [64.6-76.3]
Myanmar,1991,Both sexes,79.57 [73.82-86.15]
Myanmar,1991,Male,87.11 [80.31-94.73]
Myanmar,1991,Female,71.63 [65.94-78.19]
Myanmar,1990,Both sexes,81.21 [75.22-88.19]
Myanmar,1990,Male,88.88 [81.88-96.8]
Myanmar,1990,Female,73.1 [67.1-79.99]
Myanmar,1989,Both sexes,82.83 [76.5-90.05]
