Location,Period,Dimension,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births)
Montenegro,2009,Female,6.08 [5.6-6.6]
Montenegro,2008,Both sexes,7.19 [6.69-7.72]
Montenegro,2008,Male,7.63 [7.06-8.23]
Montenegro,2008,Female,6.72 [6.21-7.28]
Montenegro,2007,Both sexes,7.93 [7.41-8.49]
Montenegro,2007,Male,8.45 [7.83-9.09]
Montenegro,2007,Female,7.4 [6.85-7.99]
Montenegro,2006,Both sexes,8.7 [8.15-9.28]
Montenegro,2006,Male,9.27 [8.63-9.95]
Montenegro,2006,Female,8.09 [7.52-8.7]
Montenegro,2005,Both sexes,9.46 [8.89-10.07]
Montenegro,2005,Male,10.1 [9.44-10.82]
Montenegro,2005,Female,8.79 [8.19-9.44]
Montenegro,2004,Both sexes,10.21 [9.61-10.85]
Montenegro,2004,Male,10.89 [10.2-11.63]
Montenegro,2004,Female,9.48 [8.86-10.17]
Montenegro,2003,Both sexes,10.92 [10.29-11.58]
Montenegro,2003,Male,11.65 [10.94-12.43]
Montenegro,2003,Female,10.14 [9.48-10.84]
Montenegro,2002,Both sexes,11.58 [10.94-12.25]
Montenegro,2002,Male,12.37 [11.62-13.17]
Montenegro,2002,Female,10.74 [10.07-11.47]
Montenegro,2001,Both sexes,12.16 [11.52-12.84]
Montenegro,2001,Male,12.99 [12.22-13.79]
Montenegro,2001,Female,11.29 [10.6-12.03]
Montenegro,2000,Both sexes,12.65 [11.99-13.35]
Montenegro,2000,Male,13.51 [12.74-14.34]
Montenegro,2000,Female,11.74 [11.03-12.5]
Montenegro,1999,Both sexes,13.02 [12.35-13.72]
Montenegro,1999,Male,13.89 [13.1-14.74]
Montenegro,1999,Female,12.09 [11.37-12.87]
Montenegro,1998,Both sexes,13.26 [12.58-13.97]
Montenegro,1998,Male,14.14 [13.33-14.99]
Montenegro,1998,Female,12.32 [11.6-13.13]
Montenegro,1997,Both sexes,13.4 [12.72-14.11]
Montenegro,1997,Male,14.28 [13.48-15.14]
Montenegro,1997,Female,12.47 [11.74-13.26]
Montenegro,1996,Both sexes,13.45 [12.78-14.16]
Montenegro,1996,Male,14.34 [13.52-15.18]
Montenegro,1996,Female,12.53 [11.8-13.3]
Montenegro,1995,Both sexes,13.46 [12.79-14.16]
Montenegro,1995,Male,14.33 [13.52-15.17]
Montenegro,1995,Female,12.55 [11.82-13.33]
Montenegro,1994,Both sexes,13.48 [12.81-14.17]
Montenegro,1994,Male,14.34 [13.52-15.17]
Montenegro,1994,Female,12.58 [11.84-13.35]
Montenegro,1993,Both sexes,13.55 [12.87-14.24]
Montenegro,1993,Male,14.4 [13.59-15.24]
Montenegro,1993,Female,12.65 [11.91-13.44]
Montenegro,1992,Both sexes,13.76 [13.06-14.45]
Montenegro,1992,Male,14.62 [13.79-15.48]
Montenegro,1992,Female,12.84 [12.09-13.62]
Montenegro,1991,Both sexes,14.15 [13.44-14.85]
Montenegro,1991,Male,15.03 [14.18-15.91]
Montenegro,1991,Female,13.2 [12.44-14]
Montenegro,1990,Both sexes,14.76 [14.04-15.52]
Montenegro,1990,Male,15.69 [14.81-16.62]
Montenegro,1990,Female,13.79 [13-14.62]
Montenegro,1989,Both sexes,15.68 [14.94-16.46]
Montenegro,1989,Male,16.67 [15.76-17.62]
Montenegro,1989,Female,14.64 [13.82-15.52]
Montenegro,1988,Both sexes,16.9 [16.15-17.71]
Montenegro,1988,Male,17.98 [17.03-18.98]
Montenegro,1988,Female,15.77 [14.9-16.69]
Montenegro,1987,Both sexes,18.41 [17.57-19.31]
Montenegro,1987,Male,19.59 [18.54-20.71]
Montenegro,1987,Female,17.19 [16.23-18.2]
Montenegro,1986,Both sexes,20.19 [19.11-21.34]
Montenegro,1986,Male,21.5 [20.19-22.89]
Montenegro,1986,Female,18.82 [17.67-20.07]
Montenegro,1985,Both sexes,22.21 [20.68-23.9]
Montenegro,1985,Male,23.64 [21.86-25.57]
Montenegro,1985,Female,20.7 [19.17-22.42]
Montenegro,1984,Both sexes,24.47 [22.23-26.99]
Montenegro,1984,Male,26.03 [23.49-28.84]
Montenegro,1984,Female,22.81 [20.57-25.33]
Morocco,2019,Both sexes,18.34 [13.82-24.21]
