Location,Period,Dimension,Under-five mortality rate (probability of dying by age 5 per 1000 live births)
Montenegro,2009,Female,6.86 [6.33-7.44]
Montenegro,2008,Both sexes,8.13 [7.58-8.73]
Montenegro,2008,Male,8.66 [8.02-9.33]
Montenegro,2008,Female,7.58 [7.02-8.2]
Montenegro,2007,Both sexes,8.97 [8.38-9.6]
Montenegro,2007,Male,9.58 [8.9-10.29]
Montenegro,2007,Female,8.34 [7.74-8.99]
Montenegro,2006,Both sexes,9.82 [9.21-10.48]
Montenegro,2006,Male,10.5 [9.78-11.25]
Montenegro,2006,Female,9.12 [8.49-9.8]
Montenegro,2005,Both sexes,10.68 [10.03-11.37]
Montenegro,2005,Male,11.42 [10.69-12.21]
Montenegro,2005,Female,9.89 [9.23-10.61]
Montenegro,2004,Both sexes,11.51 [10.83-12.23]
Montenegro,2004,Male,12.3 [11.54-13.14]
Montenegro,2004,Female,10.67 [9.98-11.41]
Montenegro,2003,Both sexes,12.3 [11.59-13.04]
Montenegro,2003,Male,13.15 [12.36-14.03]
Montenegro,2003,Female,11.39 [10.67-12.16]
Montenegro,2002,Both sexes,13.03 [12.31-13.78]
Montenegro,2002,Male,13.94 [13.11-14.83]
Montenegro,2002,Female,12.06 [11.32-12.86]
Montenegro,2001,Both sexes,13.67 [12.95-14.44]
Montenegro,2001,Male,14.63 [13.78-15.52]
Montenegro,2001,Female,12.67 [11.91-13.47]
Montenegro,2000,Both sexes,14.21 [13.47-14.99]
Montenegro,2000,Male,15.2 [14.34-16.12]
Montenegro,2000,Female,13.15 [12.38-13.98]
Montenegro,1999,Both sexes,14.61 [13.86-15.4]
Montenegro,1999,Male,15.61 [14.74-16.54]
Montenegro,1999,Female,13.54 [12.75-14.39]
Montenegro,1998,Both sexes,14.87 [14.11-15.67]
Montenegro,1998,Male,15.89 [14.99-16.84]
Montenegro,1998,Female,13.8 [13-14.66]
Montenegro,1997,Both sexes,15.01 [14.25-15.81]
Montenegro,1997,Male,16.03 [15.13-16.98]
Montenegro,1997,Female,13.94 [13.14-14.8]
Montenegro,1996,Both sexes,15.06 [14.31-15.86]
Montenegro,1996,Male,16.08 [15.18-17.02]
Montenegro,1996,Female,13.99 [13.2-14.83]
Montenegro,1995,Both sexes,15.06 [14.31-15.85]
Montenegro,1995,Male,16.07 [15.17-16.99]
Montenegro,1995,Female,14.01 [13.22-14.85]
Montenegro,1994,Both sexes,15.08 [14.32-15.85]
Montenegro,1994,Male,16.07 [15.16-16.98]
Montenegro,1994,Female,14.04 [13.24-14.86]
Montenegro,1993,Both sexes,15.16 [14.39-15.93]
Montenegro,1993,Male,16.14 [15.25-17.07]
Montenegro,1993,Female,14.11 [13.31-14.96]
Montenegro,1992,Both sexes,15.38 [14.6-16.16]
Montenegro,1992,Male,16.38 [15.47-17.32]
Montenegro,1992,Female,14.32 [13.49-15.18]
Montenegro,1991,Both sexes,15.81 [15.02-16.6]
Montenegro,1991,Male,16.84 [15.9-17.8]
Montenegro,1991,Female,14.72 [13.89-15.59]
Montenegro,1990,Both sexes,16.5 [15.68-17.34]
Montenegro,1990,Male,17.57 [16.61-18.58]
Montenegro,1990,Female,15.37 [14.51-16.27]
Montenegro,1989,Both sexes,17.51 [16.68-18.38]
Montenegro,1989,Male,18.66 [17.67-19.69]
Montenegro,1989,Female,16.31 [15.42-17.26]
Montenegro,1988,Both sexes,18.87 [18.03-19.77]
Montenegro,1988,Male,20.11 [19.07-21.2]
Montenegro,1988,Female,17.57 [16.62-18.56]
Montenegro,1987,Both sexes,20.55 [19.6-21.55]
Montenegro,1987,Male,21.9 [20.75-23.12]
Montenegro,1987,Female,19.13 [18.11-20.23]
Montenegro,1986,Both sexes,22.53 [21.32-23.81]
Montenegro,1986,Male,24.02 [22.59-25.54]
Montenegro,1986,Female,20.95 [19.71-22.31]
Montenegro,1985,Both sexes,24.75 [23.05-26.64]
Montenegro,1985,Male,26.4 [24.45-28.54]
Montenegro,1985,Female,23.04 [21.35-24.9]
Montenegro,1984,Both sexes,27.26 [24.77-30.07]
Montenegro,1984,Male,29.05 [26.25-32.17]
Montenegro,1984,Female,25.35 [22.9-28.14]
Morocco,2019,Both sexes,21.39 [16.13-28.19]
Morocco,2019,Male,23.48 [17.7-30.95]
Morocco,2019,Female,19.22 [14.46-25.37]
Morocco,2018,Both sexes,22.24 [17.16-28.5]
Morocco,2018,Male,24.39 [18.83-31.38]
Morocco,2018,Female,19.98 [15.4-25.73]
Morocco,2017,Both sexes,23.15 [18.3-29.11]
Morocco,2017,Male,25.41 [20.04-31.97]
Morocco,2017,Female,20.8 [16.4-26.22]
Morocco,2016,Both sexes,24.15 [19.52-29.86]
Morocco,2016,Male,26.49 [21.31-32.7]
Morocco,2016,Female,21.72 [17.47-26.89]
