Location,Period,Dimension,Under-five mortality rate (probability of dying by age 5 per 1000 live births)
Morocco,2015,Both sexes,25.27 [20.78-30.6]
Morocco,2015,Male,27.67 [22.72-33.58]
Morocco,2015,Female,22.72 [18.64-27.61]
Morocco,2014,Both sexes,26.46 [22.14-31.48]
Morocco,2014,Male,28.98 [24.2-34.52]
Morocco,2014,Female,23.81 [19.86-28.45]
Morocco,2013,Both sexes,27.7 [23.53-32.45]
Morocco,2013,Male,30.34 [25.7-35.57]
Morocco,2013,Female,24.93 [21.1-29.29]
Morocco,2012,Both sexes,29.02 [24.98-33.51]
Morocco,2012,Male,31.76 [27.28-36.66]
Morocco,2012,Female,26.13 [22.43-30.25]
Morocco,2011,Both sexes,30.37 [26.45-34.63]
Morocco,2011,Male,33.21 [28.84-37.95]
Morocco,2011,Female,27.36 [23.76-31.35]
Morocco,2010,Both sexes,31.75 [27.95-35.88]
Morocco,2010,Male,34.71 [30.45-39.36]
Morocco,2010,Female,28.66 [25.1-32.56]
Morocco,2009,Both sexes,33.2 [29.49-37.31]
Morocco,2009,Male,36.29 [32.07-40.84]
Morocco,2009,Female,29.95 [26.46-33.8]
Morocco,2008,Both sexes,34.7 [30.94-38.76]
Morocco,2008,Male,37.9 [33.66-42.41]
Morocco,2008,Female,31.37 [27.82-35.21]
Morocco,2007,Both sexes,36.29 [32.47-40.36]
Morocco,2007,Male,39.6 [35.28-44.14]
Morocco,2007,Female,32.79 [29.22-36.68]
Morocco,2006,Both sexes,37.89 [34.01-42.09]
Morocco,2006,Male,41.29 [36.93-45.92]
Morocco,2006,Female,34.33 [30.68-38.32]
Morocco,2005,Both sexes,39.59 [35.63-43.87]
Morocco,2005,Male,43.1 [38.67-47.84]
Morocco,2005,Female,35.9 [32.21-40]
Morocco,2004,Both sexes,41.37 [37.34-45.76]
Morocco,2004,Male,44.99 [40.46-49.84]
Morocco,2004,Female,37.56 [33.76-41.71]
Morocco,2003,Both sexes,43.23 [39.15-47.73]
Morocco,2003,Male,46.92 [42.28-51.89]
Morocco,2003,Female,39.36 [35.45-43.7]
Morocco,2002,Both sexes,45.16 [40.92-49.81]
Morocco,2002,Male,49 [44.2-54.13]
Morocco,2002,Female,41.14 [37.14-45.61]
Morocco,2001,Both sexes,47.22 [42.83-51.94]
Morocco,2001,Male,51.12 [46.17-56.39]
Morocco,2001,Female,43.13 [39-47.66]
Morocco,2000,Both sexes,49.4 [44.9-54.21]
Morocco,2000,Male,53.4 [48.34-58.79]
Morocco,2000,Female,45.19 [40.98-49.83]
Morocco,1999,Both sexes,51.71 [47.11-56.66]
Morocco,1999,Male,55.79 [50.59-61.24]
Morocco,1999,Female,47.44 [43.11-52.22]
Morocco,1998,Both sexes,54.19 [49.51-59.24]
Morocco,1998,Male,58.34 [53.07-63.91]
Morocco,1998,Female,49.75 [45.33-54.61]
Morocco,1997,Both sexes,56.79 [52.05-61.87]
Morocco,1997,Male,61.02 [55.75-66.67]
Morocco,1997,Female,52.32 [47.88-57.29]
Morocco,1996,Both sexes,59.58 [54.82-64.7]
Morocco,1996,Male,63.89 [58.62-69.58]
Morocco,1996,Female,55.05 [50.5-60.11]
Morocco,1995,Both sexes,62.51 [57.74-67.68]
Morocco,1995,Male,66.91 [61.57-72.61]
Morocco,1995,Female,57.91 [53.26-63.02]
Morocco,1994,Both sexes,65.58 [60.73-70.84]
Morocco,1994,Male,70.03 [64.62-75.86]
Morocco,1994,Female,60.91 [56.23-66.12]
Morocco,1993,Both sexes,68.76 [63.8-74.17]
Morocco,1993,Male,73.25 [67.78-79.2]
Morocco,1993,Female,64.06 [59.26-69.32]
Morocco,1992,Both sexes,72.09 [66.97-77.55]
Morocco,1992,Male,76.62 [70.99-82.64]
Morocco,1992,Female,67.31 [62.34-72.67]
Morocco,1991,Both sexes,75.51 [70.27-81.11]
Morocco,1991,Male,80.14 [74.37-86.3]
Morocco,1991,Female,70.67 [65.56-76.14]
Morocco,1990,Both sexes,79.11 [73.7-84.94]
Morocco,1990,Male,83.82 [77.85-90.01]
Morocco,1990,Female,74.26 [68.98-79.93]
Morocco,1989,Both sexes,82.96 [77.32-89.01]
Morocco,1989,Male,87.7 [81.57-94.2]
Morocco,1989,Female,78.02 [72.55-83.9]
Morocco,1988,Both sexes,87.12 [81.32-93.3]
Morocco,1988,Male,91.87 [85.52-98.63]
Morocco,1988,Female,82.19 [76.5-88.17]
Morocco,1987,Both sexes,91.63 [85.55-97.95]
Morocco,1987,Male,96.46 [89.95-103.3]
Morocco,1987,Female,86.62 [80.67-92.76]
Morocco,1986,Both sexes,96.51 [90.31-103]
Morocco,1986,Male,101.3 [94.64-108.3]
Morocco,1986,Female,91.45 [85.26-97.82]
Morocco,1985,Both sexes,101.7 [95.27-108.4]
Morocco,1985,Male,106.5 [99.63-113.8]
Morocco,1985,Female,96.68 [90.23-103.2]
Morocco,1984,Both sexes,107.3 [100.7-114.2]
Morocco,1984,Male,112.1 [105-119.6]
Morocco,1984,Female,102.3 [95.59-109.2]
Morocco,1983,Both sexes,113.2 [106.3-120.4]
Morocco,1983,Male,118 [110.6-125.7]
Morocco,1983,Female,108.2 [101.3-115.4]
Morocco,1982,Both sexes,119.4 [112.2-126.9]
Morocco,1982,Male,124.1 [116.5-132.2]
Morocco,1982,Female,114.4 [107.3-122]
Morocco,1981,Both sexes,125.8 [118.3-133.7]
Morocco,1981,Male,130.4 [122.4-139]
Morocco,1981,Female,120.9 [113.4-128.8]
Morocco,1980,Both sexes,132.3 [124.5-140.7]
Morocco,1980,Male,137 [128.6-145.9]
Morocco,1980,Female,127.5 [119.6-135.9]
Morocco,1979,Both sexes,139.1 [130.9-148]
Morocco,1979,Male,143.6 [134.7-153.2]
Morocco,1979,Female,134.3 [126.1-143.3]
Morocco,1978,Both sexes,145.9 [137.1-155.4]
Morocco,1978,Male,150.4 [140.9-160.4]
Morocco,1978,Female,141.1 [132.6-150.7]
Morocco,1977,Both sexes,152.6 [143.4-162.5]
Morocco,1977,Male,157 [147.1-167.6]
Morocco,1977,Female,147.9 [138.7-157.9]
Morocco,1976,Both sexes,158.9 [149.3-169.3]
Morocco,1976,Male,163.5 [153.1-174.5]
Morocco,1976,Female,154.1 [144.4-164.6]
Morocco,1975,Both sexes,164.7 [154.7-175.5]
Morocco,1975,Male,169.4 [158.6-180.9]
Morocco,1975,Female,159.8 [149.6-170.4]
Morocco,1974,Both sexes,170 [159.6-181]
Morocco,1974,Male,174.8 [163.8-186.5]
Morocco,1974,Female,164.9 [154.5-175.9]
Morocco,1973,Both sexes,174.6 [164.1-186]
Morocco,1973,Male,179.7 [168.4-191.7]
Morocco,1973,Female,169.5 [158.9-180.8]
Morocco,1972,Both sexes,178.9 [168.1-190.8]
Morocco,1972,Male,184.1 [172.5-196.6]
Morocco,1972,Female,173.6 [162.6-185.4]
Morocco,1971,Both sexes,183.1 [171.8-195.4]
Morocco,1971,Male,188.3 [176.2-201.4]
Morocco,1971,Female,177.7 [166.1-190]
Morocco,1970,Both sexes,187.5 [175.5-200.3]
Morocco,1970,Male,192.6 [179.8-206.3]
Morocco,1970,Female,182 [170-194.7]
Morocco,1969,Both sexes,191.9 [179.4-205.4]
Morocco,1969,Male,197.2 [183.8-211.6]
Morocco,1969,Female,186.3 [173.8-200]
Morocco,1968,Both sexes,196.8 [183.6-211.2]
Morocco,1968,Male,202.1 [188.1-217.3]
Morocco,1968,Female,191.1 [177.9-205.6]
Morocco,1967,Both sexes,201.9 [188-217.1]
Morocco,1967,Male,207.5 [192.6-223.5]
Morocco,1967,Female,196 [182.2-211.5]
Morocco,1966,Both sexes,207.2 [192.5-223.5]
Morocco,1966,Male,212.9 [197-229.9]
Morocco,1966,Female,201.3 [186.8-217.5]
Morocco,1965,Both sexes,212.6 [197.1-229.8]
Morocco,1965,Male,218.4 [201.7-236.3]
Morocco,1965,Female,206.5 [191.1-223.7]
Morocco,1964,Both sexes,218 [201.2-236.3]
Morocco,1964,Male,223.9 [206-242.9]
Morocco,1964,Female,211.7 [195.1-230.3]
Morocco,1963,Both sexes,223.2 [205.2-242.9]
Morocco,1963,Male,229.2 [210-249.9]
Morocco,1963,Female,216.8 [198.9-236.7]
Morocco,1962,Both sexes,228.3 [208.8-249.8]
Morocco,1962,Male,234.2 [213.8-256.8]
Morocco,1962,Female,221.8 [202.1-243.1]
Morocco,1961,Both sexes,233.4 [212-256.7]
Morocco,1961,Male,239.4 [217.3-263.8]
Morocco,1961,Female,226.7 [205.5-250.2]
Morocco,1960,Both sexes,238.3 [214.9-263.8]
Morocco,1960,Male,244.5 [220.2-271.2]
Morocco,1960,Female,231.5 [208.3-257.2]
Morocco,1959,Both sexes,243.2 [217.5-271.5]
Morocco,1959,Male,249.7 [223-279.3]
Morocco,1959,Female,236.3 [211-264.5]
Morocco,1958,Both sexes,248.2 [219.9-280.1]
Morocco,1958,Male,254.9 [225.5-287.8]
Morocco,1958,Female,241.3 [213.4-272.9]
Morocco,1957,Both sexes,253.5 [221.9-289.4]
Morocco,1957,Male,260.4 [227.3-297.7]
Morocco,1957,Female,246.4 [215.4-282.2]
Morocco,1956,Both sexes,258.8 [223.5-299.6]
Morocco,1956,Male,265.9 [228.8-308]
Morocco,1956,Female,251.6 [216.9-292]
Mozambique,2019,Both sexes,74.25 [52.18-108.9]
Mozambique,2019,Male,78.81 [55.38-115.6]
Mozambique,2019,Female,69.54 [48.84-101.8]
Mozambique,2018,Both sexes,77.03 [55.99-109.1]
Mozambique,2018,Male,81.67 [59.24-115.6]
Mozambique,2018,Female,72.23 [52.45-102.2]
Mozambique,2017,Both sexes,79.39 [59.72-108.2]
Mozambique,2017,Male,84.01 [63.1-114.6]
Mozambique,2017,Female,74.53 [56.11-101.8]
Mozambique,2016,Both sexes,81.81 [63.56-107.7]
Mozambique,2016,Male,86.47 [67.14-114]
Mozambique,2016,Female,76.91 [59.77-101.1]
Mozambique,2015,Both sexes,85.43 [68.29-108.4]
Mozambique,2015,Male,90.17 [72.12-114.6]
Mozambique,2015,Female,80.49 [64.31-102.2]
Mozambique,2014,Both sexes,89.32 [73.66-109.7]
Mozambique,2014,Male,94.02 [77.52-115.7]
Mozambique,2014,Female,84.27 [69.45-103.6]
Mozambique,2013,Both sexes,92.29 [78.35-109.7]
Mozambique,2013,Male,97.06 [82.38-115.6]
Mozambique,2013,Female,87.31 [73.96-103.8]
Mozambique,2012,Both sexes,96.25 [83.95-110.7]
Mozambique,2012,Male,101.1 [88.09-116.6]
Mozambique,2012,Female,91.17 [79.41-105.2]
Mozambique,2011,Both sexes,100.4 [89.7-113]
Mozambique,2011,Male,105.5 [93.88-118.7]
Mozambique,2011,Female,95.28 [84.95-107.3]
Mozambique,2010,Both sexes,104.9 [95.02-116]
Mozambique,2010,Male,110 [99.42-121.8]
Mozambique,2010,Female,99.53 [89.96-110.4]
Mozambique,2009,Both sexes,107.7 [98.35-118.2]
Mozambique,2009,Male,112.7 [102.7-123.9]
Mozambique,2009,Female,102.3 [93.18-112.5]
Mozambique,2008,Both sexes,113.2 [103.6-123.8]
Mozambique,2008,Male,118.4 [108.3-129.6]
Mozambique,2008,Female,107.7 [98.37-118.1]
Mozambique,2007,Both sexes,119.3 [109.2-130.1]
Mozambique,2007,Male,124.5 [113.8-136]
Mozambique,2007,Female,113.8 [103.7-124.4]
Mozambique,2006,Both sexes,126.2 [115.5-137.5]
Mozambique,2006,Male,131.6 [120.3-143.5]
Mozambique,2006,Female,120.5 [110-131.6]
Mozambique,2005,Both sexes,131.9 [121.1-143.5]
Mozambique,2005,Male,137.4 [125.8-149.8]
Mozambique,2005,Female,126.1 [115.4-137.7]
Mozambique,2004,Both sexes,138 [126.8-150.4]
Mozambique,2004,Male,143.5 [131.7-156.5]
Mozambique,2004,Female,132.3 [121.1-144.4]
Mozambique,2003,Both sexes,144.7 [133.2-157.5]
Mozambique,2003,Male,150.3 [138-163.7]
Mozambique,2003,Female,139 [127.4-151.4]
Mozambique,2002,Both sexes,152.2 [140.3-165.3]
Mozambique,2002,Male,157.9 [145.3-171.7]
Mozambique,2002,Female,146.3 [134.3-159.1]
Mozambique,2001,Both sexes,160.6 [148.2-174]
Mozambique,2001,Male,166.4 [153.4-180.6]
Mozambique,2001,Female,154.4 [142.1-167.8]
Mozambique,2000,Both sexes,169.7 [156.9-183.7]
Mozambique,2000,Male,175.7 [162.4-190.6]
Mozambique,2000,Female,163.4 [150.5-177.3]
Mozambique,1999,Both sexes,179.6 [166.4-194.4]
Mozambique,1999,Male,186 [172.3-201.4]
Mozambique,1999,Female,172.9 [159.7-187.4]
Mozambique,1998,Both sexes,189.9 [176.2-205.5]
Mozambique,1998,Male,196.7 [182.2-212.8]
Mozambique,1998,Female,182.9 [169.1-198.2]
Mozambique,1997,Both sexes,200.4 [185.7-216.7]
Mozambique,1997,Male,207.3 [192-224.3]
Mozambique,1997,Female,193 [178.5-209.1]
Mozambique,1996,Both sexes,210 [194.7-227.3]
Mozambique,1996,Male,217.4 [201.4-235.4]
Mozambique,1996,Female,202.3 [187.1-219.2]
Mozambique,1995,Both sexes,218.5 [202.8-236.6]
Mozambique,1995,Male,226.3 [209.7-245]
Mozambique,1995,Female,210.4 [194.7-228.2]
Mozambique,1994,Both sexes,225.6 [209-244.5]
Mozambique,1994,Male,233.9 [216.6-253.3]
Mozambique,1994,Female,217.1 [200.8-235.9]
Mozambique,1993,Both sexes,231.5 [214.3-250.9]
Mozambique,1993,Male,239.9 [221.9-260]
Mozambique,1993,Female,222.8 [205.8-242.1]
Mozambique,1992,Both sexes,236.2 [218.4-256.4]
Mozambique,1992,Male,244.7 [226-265.6]
Mozambique,1992,Female,227.2 [209.7-247.2]
Mozambique,1991,Both sexes,240 [221.8-260.6]
Mozambique,1991,Male,248.6 [229.3-270.2]
Mozambique,1991,Female,230.9 [213-251.2]
Mozambique,1990,Both sexes,243.1 [224.4-264.4]
Mozambique,1990,Male,252 [232.1-274.3]
Mozambique,1990,Female,233.9 [215.6-254.9]
Mozambique,1989,Both sexes,246.2 [226.7-268.1]
Mozambique,1989,Male,255.2 [234.3-278.3]
Mozambique,1989,Female,236.8 [217.9-258.6]
Mozambique,1988,Both sexes,249.3 [228.7-271.7]
Mozambique,1988,Male,258.2 [236.5-282.2]
Mozambique,1988,Female,239.7 [219.7-262]
Mozambique,1987,Both sexes,252.2 [230.7-275.8]
Mozambique,1987,Male,261.3 [238.7-286.1]
Mozambique,1987,Female,242.7 [221.6-265.8]
Mozambique,1986,Both sexes,255.3 [233-279.8]
Mozambique,1986,Male,264.5 [240.8-290.5]
Mozambique,1986,Female,245.7 [223.5-269.7]
Mozambique,1985,Both sexes,258.3 [235.4-284.3]
Mozambique,1985,Male,267.8 [243.4-295.1]
Mozambique,1985,Female,248.5 [225.7-274.1]
Mozambique,1984,Both sexes,261.1 [237.1-288.4]
Mozambique,1984,Male,270.7 [245.5-299.5]
Mozambique,1984,Female,251.1 [227.6-277.7]
Mozambique,1983,Both sexes,263.3 [238.6-291.8]
Mozambique,1983,Male,273.1 [246.9-303.4]
Mozambique,1983,Female,252.8 [228.7-280.5]
Mozambique,1982,Both sexes,264.7 [238.7-294.3]
Mozambique,1982,Male,274.8 [247.5-306.4]
Mozambique,1982,Female,254.3 [228.8-282.9]
Mozambique,1981,Both sexes,265.6 [238.7-296.2]
Mozambique,1981,Male,275.7 [247.3-308.2]
Mozambique,1981,Female,255.2 [228.4-285.1]
Mozambique,1980,Both sexes,266.1 [237.4-298.3]
Mozambique,1980,Male,276.1 [246.4-310.3]
Mozambique,1980,Female,255.7 [227.7-286.4]
Mozambique,1979,Both sexes,266.5 [235.9-300.4]
Mozambique,1979,Male,276.5 [244.7-312.7]
Mozambique,1979,Female,256 [226.1-289]
Mozambique,1978,Both sexes,267.1 [234.3-303.2]
Mozambique,1978,Male,277.3 [243.1-315.4]
Mozambique,1978,Female,256.4 [224.6-291.7]
Mozambique,1977,Both sexes,267.9 [232.9-307.1]
Mozambique,1977,Male,278 [241.4-319.3]
Mozambique,1977,Female,257.2 [222.9-295.4]
Mozambique,1976,Both sexes,269.2 [231.3-311.3]
Mozambique,1976,Male,279.3 [239.6-323.9]
Mozambique,1976,Female,258.3 [221.5-299.4]
Mozambique,1975,Both sexes,270.5 [229.7-315.9]
Mozambique,1975,Male,280.6 [238-328.9]
Mozambique,1975,Female,259.6 [220.1-303.9]
Mozambique,1974,Both sexes,271.8 [229-320.8]
Mozambique,1974,Male,282.4 [237.1-333.9]
Mozambique,1974,Female,260.9 [219.5-308.4]
Mozambique,1973,Both sexes,273.2 [227.6-326.1]
Mozambique,1973,Male,283.8 [235.9-339.7]
Mozambique,1973,Female,262.4 [218.6-313.4]
Mozambique,1972,Both sexes,274.3 [226.2-330.8]
Mozambique,1972,Male,284.8 [234.8-344.4]
Mozambique,1972,Female,263.4 [217.2-318.5]
Mozambique,1971,Both sexes,275.2 [224.5-336.4]
Mozambique,1971,Male,285.7 [232.9-349.7]
Mozambique,1971,Female,264 [215.3-323]
Mozambique,1970,Both sexes,275.8 [222.5-340.5]
Mozambique,1970,Male,286.5 [230.8-354.3]
Mozambique,1970,Female,264.8 [213.2-326.9]
Mozambique,1969,Both sexes,276.1 [219.6-345.6]
Mozambique,1969,Male,287.1 [228.4-358.9]
Mozambique,1969,Female,265.1 [210.4-331.6]
Mozambique,1968,Both sexes,276.1 [215.7-350.5]
Mozambique,1968,Male,286.6 [224.1-364.1]
Mozambique,1968,Female,265 [207.5-336.2]
Mozambique,1967,Both sexes,276 [212-355.6]
Mozambique,1967,Male,286.3 [220-370.1]
Mozambique,1967,Female,264.8 [203.6-341.1]
Mozambique,1966,Both sexes,274.9 [208.1-361]
Mozambique,1966,Male,285.5 [215.5-376]
Mozambique,1966,Female,263.9 [199.8-346.4]
Mozambique,1965,Both sexes,273.5 [203.5-367.4]
Mozambique,1965,Male,284.1 [211-382.4]
Mozambique,1965,Female,262.4 [195.2-352.3]
Mozambique,1964,Both sexes,272.2 [198.4-373.6]
Mozambique,1964,Male,282.7 [205.6-388.2]
Mozambique,1964,Female,261.1 [189.7-357.5]
Myanmar,2019,Both sexes,44.66 [31.09-62.53]
Myanmar,2019,Male,48.83 [33.94-68.53]
Myanmar,2019,Female,40.23 [27.91-56.42]
Myanmar,2018,Both sexes,46.37 [33.16-62.64]
Myanmar,2018,Male,50.64 [36.15-68.47]
Myanmar,2018,Female,41.85 [29.85-56.51]
Myanmar,2017,Both sexes,48.11 [35.49-62.63]
Myanmar,2017,Male,52.56 [38.77-68.53]
Myanmar,2017,Female,43.39 [31.96-56.93]
Myanmar,2016,Both sexes,49.92 [37.75-63.19]
Myanmar,2016,Male,54.42 [41.16-68.96]
Myanmar,2016,Female,45.11 [34.08-57.32]
Myanmar,2015,Both sexes,51.77 [40.33-64.08]
Myanmar,2015,Male,56.32 [43.85-69.8]
Myanmar,2015,Female,46.91 [36.46-58.24]
Myanmar,2014,Both sexes,53.7 [42.91-65.21]
Myanmar,2014,Male,58.44 [46.69-70.97]
Myanmar,2014,Female,48.75 [38.92-59.39]
Myanmar,2013,Both sexes,55.84 [45.65-66.77]
Myanmar,2013,Male,60.69 [49.5-72.52]
Myanmar,2013,Female,50.82 [41.47-60.85]
Myanmar,2012,Both sexes,58.22 [48.65-68.56]
Myanmar,2012,Male,63.19 [52.66-74.31]
Myanmar,2012,Female,53.07 [44.23-62.53]
Myanmar,2011,Both sexes,60.7 [51.88-70.42]
Myanmar,2011,Male,65.83 [56.1-76.44]
Myanmar,2011,Female,55.44 [47.11-64.43]
Myanmar,2010,Both sexes,63.39 [54.98-72.47]
Myanmar,2010,Male,68.55 [59.41-78.65]
Myanmar,2010,Female,57.9 [50.13-66.47]
Myanmar,2009,Both sexes,66.04 [58.2-74.7]
Myanmar,2009,Male,71.35 [62.76-80.94]
Myanmar,2009,Female,60.44 [53.03-68.6]
Myanmar,2008,Both sexes,89.07 [79.47-99.71]
Myanmar,2008,Male,94.52 [84.04-106.1]
Myanmar,2008,Female,83.35 [73.91-93.65]
Myanmar,2007,Both sexes,71.46 [64.31-79.37]
Myanmar,2007,Male,76.97 [69.02-85.76]
Myanmar,2007,Female,65.64 [58.75-73.16]
Myanmar,2006,Both sexes,74.11 [67.17-81.84]
Myanmar,2006,Male,79.76 [72.07-88.32]
Myanmar,2006,Female,68.19 [61.35-75.59]
Myanmar,2005,Both sexes,76.71 [69.88-84.27]
Myanmar,2005,Male,82.54 [74.91-91]
Myanmar,2005,Female,70.65 [63.98-77.93]
Myanmar,2004,Both sexes,79.3 [72.49-86.68]
Myanmar,2004,Male,85.14 [77.64-93.52]
Myanmar,2004,Female,73.14 [66.52-80.25]
Myanmar,2003,Both sexes,81.8 [74.95-89.09]
Myanmar,2003,Male,87.76 [80.23-96.11]
Myanmar,2003,Female,75.5 [68.9-82.56]
Myanmar,2002,Both sexes,84.25 [77.35-91.59]
Myanmar,2002,Male,90.32 [82.7-98.51]
Myanmar,2002,Female,77.84 [71.25-84.94]
Myanmar,2001,Both sexes,86.62 [79.7-94.08]
Myanmar,2001,Male,92.79 [85.23-101.2]
Myanmar,2001,Female,80.1 [73.32-87.35]
Myanmar,2000,Both sexes,88.99 [82.13-96.59]
Myanmar,2000,Male,95.27 [87.68-103.8]
Myanmar,2000,Female,82.34 [75.6-89.72]
Myanmar,1999,Both sexes,91.36 [84.48-99.06]
Myanmar,1999,Male,97.78 [90.1-106.4]
Myanmar,1999,Female,84.61 [77.73-92.13]
Myanmar,1998,Both sexes,93.78 [86.72-101.7]
Myanmar,1998,Male,100.3 [92.42-109.1]
Myanmar,1998,Female,86.94 [79.96-94.74]
Myanmar,1997,Both sexes,96.26 [89-104.4]
Myanmar,1997,Male,102.8 [94.87-111.9]
Myanmar,1997,Female,89.31 [82.1-97.36]
Myanmar,1996,Both sexes,98.77 [91.3-107.3]
Myanmar,1996,Male,105.6 [97.28-114.9]
Myanmar,1996,Female,91.68 [84.37-100.2]
Myanmar,1995,Both sexes,101.3 [93.7-110.1]
Myanmar,1995,Male,108.2 [99.63-118]
Myanmar,1995,Female,94.17 [86.6-102.9]
Myanmar,1994,Both sexes,104 [96-113.2]
Myanmar,1994,Male,111 [102.1-121.1]
Myanmar,1994,Female,96.68 [88.75-105.7]
Myanmar,1993,Both sexes,106.6 [98.38-116.2]
Myanmar,1993,Male,113.8 [104.5-124.3]
Myanmar,1993,Female,99.22 [91.01-108.6]
Myanmar,1992,Both sexes,109.3 [100.7-119.1]
Myanmar,1992,Male,116.6 [106.9-127.4]
Myanmar,1992,Female,101.8 [93.3-111.5]
Myanmar,1991,Both sexes,112 [102.9-122.4]
Myanmar,1991,Male,119.2 [109.3-130.6]
Myanmar,1991,Female,104.3 [95.46-114.6]
Myanmar,1990,Both sexes,114.6 [105.1-125.6]
Myanmar,1990,Male,122 [111.5-133.8]
Myanmar,1990,Female,106.8 [97.39-117.6]
Myanmar,1989,Both sexes,117.1 [107.1-128.5]
Myanmar,1989,Male,124.6 [113.6-137]
